sample,taxa,empP,circa_p,people,sum,number_exist,p,group,cluster
Prevotella.sp..oral.taxon.475_P18,Prevotella.sp..oral.taxon.475,0.216783217,0.060783881,P18,0.006830388,5,0.060783881,rhythem,cluster1
Prevotella.sp..oral.taxon.475_P21,Prevotella.sp..oral.taxon.475,0.37962038,0.022243954,P21,0.012877619,7,0.022243954,rhythem,cluster1
Prevotella.sp..oral.taxon.475_P26,Prevotella.sp..oral.taxon.475,0.060939061,0.012112602,P26,0.012059079,7,0.012112602,rhythem,cluster1
Prevotella.sp..oral.taxon.475_P27,Prevotella.sp..oral.taxon.475,0.137862138,0.022350805,P27,0.01313757,4,0.022350805,rhythem,cluster1
Prevotella.veroralis_P06,Prevotella.veroralis,0.125069836,0.009353793,P06,1.41163247,7,0.009353793,rhythem,cluster1
Prevotella.veroralis_P08,Prevotella.veroralis,0.013986014,0.001162495,P08,0.101548296,8,0.001162495,rhythem,cluster1
Prevotella.veroralis_P16,Prevotella.veroralis,0.008991009,0.172019553,P16,0.978071328,8,0.008991009,rhythem,cluster1
Prevotella.veroralis_P17,Prevotella.veroralis,0.37962038,0.085795999,P17,1.157193068,8,0.085795999,rhythem,cluster1
Prevotella.veroralis_P19,Prevotella.veroralis,0.230769231,0.084306144,P19,0.002045971,6,0.084306144,rhythem,cluster1
Prevotella.veroralis_P21,Prevotella.veroralis,0.350649351,0.044260559,P21,0.412896187,8,0.044260559,rhythem,cluster1
Prevotella.veroralis_P23,Prevotella.veroralis,0.060939061,0.033665641,P23,0.10254658,8,0.033665641,rhythem,cluster1
Prevotella.veroralis_P24,Prevotella.veroralis,0.216783217,0.013346673,P24,0.578626741,8,0.013346673,rhythem,cluster1
Prevotella.veroralis_P25,Prevotella.veroralis,0.230769231,0.037465333,P25,0.696112855,8,0.037465333,rhythem,cluster1
Prevotella.veroralis_P26,Prevotella.veroralis,0.027972028,0.005571638,P26,0.951847693,8,0.005571638,rhythem,cluster1
Siphoviridae.sp._P06,Siphoviridae.sp.,0.508491508,0.026169891,P06,0.981583888,8,0.026169891,rhythem,cluster1
Siphoviridae.sp._P17,Siphoviridae.sp.,0.350649351,0.026740581,P17,1.82391317,8,0.026740581,rhythem,cluster1
Siphoviridae.sp._P19,Siphoviridae.sp.,0.216783217,0.08015722,P19,0.087656992,8,0.08015722,rhythem,cluster1
Siphoviridae.sp._P20,Siphoviridae.sp.,0.060939061,0.005044254,P20,1.10299142,8,0.005044254,rhythem,cluster1
Siphoviridae.sp._P21,Siphoviridae.sp.,0.125069836,0.086328836,P21,2.31238466,8,0.030969031,rhythem,cluster1
Siphoviridae.sp._P23,Siphoviridae.sp.,0.216783217,0.075614911,P23,3.8212166,8,0.075614911,rhythem,cluster1
Siphoviridae.sp._P24,Siphoviridae.sp.,0.125069836,0.030765716,P24,0.269662896,8,0.030765716,rhythem,cluster1
Siphoviridae.sp._P26,Siphoviridae.sp.,0.060939061,0.025114828,P26,1.01274625,8,0.025114828,rhythem,cluster1
Streptococcus.agalactiae_P20,Streptococcus.agalactiae,0.125069836,0.015337739,P20,0.50663193,8,0.015337739,rhythem,cluster1
Streptococcus.agalactiae_P24,Streptococcus.agalactiae,0.350649351,0.040254531,P24,0.163226603,8,0.040254531,rhythem,cluster1
Streptococcus.australis_P06,Streptococcus.australis,0.216783217,0.041046324,P06,0.488131011,7,0.041046324,rhythem,cluster1
Streptococcus.australis_P18,Streptococcus.australis,0.125069836,0.062072303,P18,0.52117635,8,0.062072303,rhythem,cluster1
Streptococcus.australis_P19,Streptococcus.australis,0.125069836,0.039283102,P19,0.084827778,8,0.039283102,rhythem,cluster1
Streptococcus.australis_P20,Streptococcus.australis,0.060939061,0.010503153,P20,2.25689058,8,0.010503153,rhythem,cluster1
Streptococcus.australis_P23,Streptococcus.australis,0.027972028,0.086433452,P23,0.73392932,8,0.086433452,rhythem,cluster1
Streptococcus.australis_P24,Streptococcus.australis,0.350649351,0.028598742,P24,0.134195256,8,0.028598742,rhythem,cluster1
Streptococcus.australis_P26,Streptococcus.australis,0.125069836,0.017128173,P26,1.86891003,8,0.017128173,rhythem,cluster1
Streptococcus.gwangjuense_P06,Streptococcus.gwangjuense,0.125069836,0.15426526,P06,0.108244742,8,0.125069836,rhythem,cluster1
Streptococcus.gwangjuense_P19,Streptococcus.gwangjuense,0.125069836,0.168033662,P19,0.045278718,8,0.125069836,rhythem,cluster1
Streptococcus.gwangjuense_P24,Streptococcus.gwangjuense,0.216783217,0.012310354,P24,0.036244247,8,0.012310354,rhythem,cluster1
Streptococcus.gwangjuense_P26,Streptococcus.gwangjuense,0.027972028,0.003273532,P26,0.251704176,8,0.003273532,rhythem,cluster1
Streptococcus.lactarius_P06,Streptococcus.lactarius,0.137862138,0.025025584,P06,0.102125128,6,0.008991009,rhythem,cluster1
Streptococcus.lactarius_P16,Streptococcus.lactarius,0.230769231,0.038775246,P16,0.031121578,8,0.038775246,rhythem,cluster1
Streptococcus.lactarius_P18,Streptococcus.lactarius,0.060939061,0.048575095,P18,0.063834326,8,0.048575095,rhythem,cluster1
Streptococcus.lactarius_P19,Streptococcus.lactarius,0.125069836,0.061964586,P19,0.013899456,8,0.027972028,rhythem,cluster1
Streptococcus.lactarius_P20,Streptococcus.lactarius,0.060939061,0.006090397,P20,0.269489954,8,0.006090397,rhythem,cluster1
Streptococcus.lactarius_P21,Streptococcus.lactarius,0.350649351,0.085509057,P21,0.033092994,8,0.085509057,rhythem,cluster1
Streptococcus.lactarius_P23,Streptococcus.lactarius,0.125069836,0.078733497,P23,0.135996942,8,0.078733497,rhythem,cluster1
Streptococcus.lactarius_P24,Streptococcus.lactarius,0.125069836,0.034619674,P24,0.064407622,8,0.034619674,rhythem,cluster1
Streptococcus.mitis_P24,Streptococcus.mitis,0.216783217,0.010430559,P24,0.584234451,8,0.010430559,rhythem,cluster1
Streptococcus.oralis_P06,Streptococcus.oralis,0.350649351,0.047765423,P06,0.968670226,8,0.047765423,rhythem,cluster1
Streptococcus.oralis_P19,Streptococcus.oralis,0.125069836,0.040822478,P19,0.32625645,8,0.040822478,rhythem,cluster1
Streptococcus.oralis_P20,Streptococcus.oralis,0.060939061,0.006865228,P20,2.34535172,8,0.006865228,rhythem,cluster1
Streptococcus.oralis_P23,Streptococcus.oralis,0.027972028,0.02135801,P23,1.26300775,8,0.02135801,rhythem,cluster1
Streptococcus.oralis_P24,Streptococcus.oralis,0.350649351,0.031700703,P24,0.667617175,8,0.031700703,rhythem,cluster1
Streptococcus.oralis_P26,Streptococcus.oralis,0.060939061,0.006379268,P26,2.1364746,8,0.006379268,rhythem,cluster1
Streptococcus.parasanguinis_P06,Streptococcus.parasanguinis,0.125069836,0.022482179,P06,0.245576258,8,0.022482179,rhythem,cluster1
Streptococcus.parasanguinis_P16,Streptococcus.parasanguinis,0.230769231,0.022947442,P16,0.075702631,8,0.022947442,rhythem,cluster1
Streptococcus.parasanguinis_P17,Streptococcus.parasanguinis,0.216783217,0.10577939,P17,0.395200902,8,0.10577939,rhythem,cluster1
Streptococcus.parasanguinis_P18,Streptococcus.parasanguinis,0.060939061,0.051655363,P18,0.126383333,8,0.027972028,rhythem,cluster1
Streptococcus.parasanguinis_P19,Streptococcus.parasanguinis,0.216783217,0.075487605,P19,0.013918872,8,0.075487605,rhythem,cluster1
Streptococcus.parasanguinis_P20,Streptococcus.parasanguinis,0.027972028,0.012975469,P20,0.144824671,8,0.012975469,rhythem,cluster1
Streptococcus.parasanguinis_P21,Streptococcus.parasanguinis,0.350649351,0.060127475,P21,0.132352278,8,0.060127475,rhythem,cluster1
Streptococcus.parasanguinis_P23,Streptococcus.parasanguinis,0.027972028,0.061135824,P23,0.12462532,8,0.061135824,rhythem,cluster1
Streptococcus.parasanguinis_P24,Streptococcus.parasanguinis,0.125069836,0.04523215,P24,0.109465455,8,0.04523215,rhythem,cluster1
Streptococcus.pneumoniae_P24,Streptococcus.pneumoniae,0.125069836,0.011023959,P24,0.126546204,8,0.011023959,rhythem,cluster1
Streptococcus.pseudopneumoniae_P24,Streptococcus.pseudopneumoniae,0.125069836,0.015079183,P24,0.052997757,8,0.015079183,rhythem,cluster1
Streptococcus.sp..116.D4_P06,Streptococcus.sp..116.D4,0.137862138,0.070204399,P06,0.039533324,6,0.060939061,rhythem,cluster1
Streptococcus.sp..116.D4_P24,Streptococcus.sp..116.D4,0.216783217,0.01065001,P24,0.008861052,8,0.01065001,rhythem,cluster1
Streptococcus.sp..116.D4_P26,Streptococcus.sp..116.D4,0.060939061,0.02750331,P26,0.111607477,8,0.02750331,rhythem,cluster1
Streptococcus.sp..1643_P06,Streptococcus.sp..1643,0.216783217,0.008176687,P06,0.031384087,4,0.008176687,rhythem,cluster1
Streptococcus.sp..1643_P19,Streptococcus.sp..1643,0.216783217,0.076151804,P19,0.017786929,8,0.076151804,rhythem,cluster1
Streptococcus.sp..1643_P20,Streptococcus.sp..1643,0.060939061,0.010479504,P20,0.12836359,8,0.010479504,rhythem,cluster1
Streptococcus.sp..1643_P23,Streptococcus.sp..1643,0.137862138,0.064222765,P23,0.059101088,4,0.064222765,rhythem,cluster1
Streptococcus.sp..1643_P24,Streptococcus.sp..1643,0.230769231,0.028841846,P24,0.017319502,8,0.028841846,rhythem,cluster1
Streptococcus.sp..1643_P26,Streptococcus.sp..1643,0.125069836,0.038850672,P26,0.138351396,8,0.038850672,rhythem,cluster1
Streptococcus.sp..NPS.308_P06,Streptococcus.sp..NPS.308,0.350649351,0.017588957,P06,0.03275471,5,0.017588957,rhythem,cluster1
Streptococcus.sp..NPS.308_P19,Streptococcus.sp..NPS.308,0.125069836,0.046036565,P19,0.008866929,8,0.046036565,rhythem,cluster1
Streptococcus.sp..NPS.308_P20,Streptococcus.sp..NPS.308,0.060939061,0.012390871,P20,0.113642261,8,0.012390871,rhythem,cluster1
Streptococcus.sp..NPS.308_P23,Streptococcus.sp..NPS.308,0.125069836,0.077725835,P23,0.049215648,7,0.027972028,rhythem,cluster1
Streptococcus.sp..NPS.308_P24,Streptococcus.sp..NPS.308,0.37962038,0.024401957,P24,0.013001689,8,0.024401957,rhythem,cluster1
Streptococcus.sp..NPS.308_P26,Streptococcus.sp..NPS.308,0.060939061,0.010685714,P26,0.10913447,8,0.010685714,rhythem,cluster1
Streptococcus.sp..oral.taxon.061_P06,Streptococcus.sp..oral.taxon.061,0.216783217,0.027764119,P06,2.827481901,8,0.027764119,rhythem,cluster1
Streptococcus.sp..oral.taxon.061_P16,Streptococcus.sp..oral.taxon.061,0.137862138,0.053430508,P16,0.60253605,8,0.053430508,rhythem,cluster1
Streptococcus.sp..oral.taxon.061_P18,Streptococcus.sp..oral.taxon.061,0.125069836,0.020619554,P18,0.69496652,8,0.020619554,rhythem,cluster1
Streptococcus.sp..oral.taxon.061_P19,Streptococcus.sp..oral.taxon.061,0.060939061,0.059347489,P19,0.072192471,8,0.027972028,rhythem,cluster1
Streptococcus.sp..oral.taxon.061_P20,Streptococcus.sp..oral.taxon.061,0.060939061,0.047390739,P20,2.03610511,8,0.027972028,rhythem,cluster1
Streptococcus.sp..oral.taxon.061_P21,Streptococcus.sp..oral.taxon.061,0.216783217,0.022937667,P21,0.818545012,8,0.022937667,rhythem,cluster1
Streptococcus.sp..oral.taxon.061_P23,Streptococcus.sp..oral.taxon.061,0.060939061,0.104752477,P23,1.14308921,8,0.104752477,rhythem,cluster1
Streptococcus.sp..oral.taxon.061_P24,Streptococcus.sp..oral.taxon.061,0.230769231,0.019059134,P24,0.080820728,8,0.019059134,rhythem,cluster1
Streptococcus.sp..oral.taxon.061_P26,Streptococcus.sp..oral.taxon.061,0.060939061,0.034667689,P26,4.27116059,8,0.034667689,rhythem,cluster1
Streptococcus.sp..oral.taxon.064_P06,Streptococcus.sp..oral.taxon.064,0.216783217,0.023353825,P06,0.112536748,4,0.023353825,rhythem,cluster1
Streptococcus.sp..oral.taxon.064_P08,Streptococcus.sp..oral.taxon.064,0.076767858,0.06825487,P08,0.151981027,8,0.06825487,rhythem,cluster1
Streptococcus.sp..oral.taxon.064_P19,Streptococcus.sp..oral.taxon.064,0.027972028,0.03477111,P19,0.067096924,8,0.03477111,rhythem,cluster1
Streptococcus.sp..oral.taxon.064_P20,Streptococcus.sp..oral.taxon.064,0.060939061,0.011697732,P20,0.280539438,8,0.011697732,rhythem,cluster1
Streptococcus.sp..oral.taxon.064_P24,Streptococcus.sp..oral.taxon.064,0.350649351,0.011645086,P24,0.066974066,8,0.011645086,rhythem,cluster1
Streptococcus.sp..oral.taxon.064_P26,Streptococcus.sp..oral.taxon.064,0.125069836,0.004442524,P26,0.375518425,8,0.004442524,rhythem,cluster1
Streptococcus.sp..VT.162_P06,Streptococcus.sp..VT.162,0.125069836,0.072647927,P06,0.146990239,7,0.072647927,rhythem,cluster1
Streptococcus.sp..VT.162_P19,Streptococcus.sp..VT.162,0.125069836,0.061119005,P19,0.032231607,8,0.061119005,rhythem,cluster1
Streptococcus.sp..VT.162_P20,Streptococcus.sp..VT.162,0.125069836,0.057455898,P20,0.278995358,8,0.057455898,rhythem,cluster1
Streptococcus.sp..VT.162_P23,Streptococcus.sp..VT.162,0.060939061,0.036957332,P23,0.083324684,7,0.036957332,rhythem,cluster1
Streptococcus.sp..VT.162_P24,Streptococcus.sp..VT.162,0.508491508,0.006588177,P24,0.045321095,8,0.006588177,rhythem,cluster1
Streptococcus.sp..VT.162_P26,Streptococcus.sp..VT.162,0.060939061,0.001960002,P26,0.152597979,8,0.001960002,rhythem,cluster1
Streptococcus.suis_P17,Streptococcus.suis,0.230769231,0.029231246,P17,0.020573301,6,0.029231246,rhythem,cluster1
Streptococcus.suis_P19,Streptococcus.suis,0.216783217,0.089819616,P19,0.000958488,7,0.089819616,rhythem,cluster1
Streptococcus.suis_P24,Streptococcus.suis,0.350649351,0.01832862,P24,0.002253474,8,0.01832862,rhythem,cluster1
Streptococcus.suis_P27,Streptococcus.suis,0.230769231,0.096496758,P27,0.017488198,7,0.096496758,rhythem,cluster1
TM7.phylum.sp..oral.taxon.952_P15,TM7.phylum.sp..oral.taxon.952,0.125069836,0.141220509,P15,0.019799707,7,0.125069836,rhythem,cluster1
TM7.phylum.sp..oral.taxon.952_P17,TM7.phylum.sp..oral.taxon.952,0.350649351,0.081881158,P17,0.118822255,8,0.081881158,rhythem,cluster1
TM7.phylum.sp..oral.taxon.952_P18,TM7.phylum.sp..oral.taxon.952,0.350649351,0.044653807,P18,0.025343354,5,0.044653807,rhythem,cluster1
TM7.phylum.sp..oral.taxon.952_P19,TM7.phylum.sp..oral.taxon.952,0.060939061,0.104453247,P19,0.01524928,8,0.060939061,rhythem,cluster1
TM7.phylum.sp..oral.taxon.952_P20,TM7.phylum.sp..oral.taxon.952,0.060939061,0.039630004,P20,0.065094675,8,0.039630004,rhythem,cluster1
TM7.phylum.sp..oral.taxon.952_P21,TM7.phylum.sp..oral.taxon.952,0.125069836,0.138117834,P21,0.145903288,8,0.125069836,rhythem,cluster1
TM7.phylum.sp..oral.taxon.952_P23,TM7.phylum.sp..oral.taxon.952,0.060939061,0.011749919,P23,0.029976999,5,0.011749919,rhythem,cluster1
TM7.phylum.sp..oral.taxon.952_P24,TM7.phylum.sp..oral.taxon.952,0.216783217,0.004888706,P24,0.020517525,8,0.004888706,rhythem,cluster1
TM7.phylum.sp..oral.taxon.952_P25,TM7.phylum.sp..oral.taxon.952,0.350649351,0.111726521,P25,0.032486726,8,0.111726521,rhythem,cluster1
Treponema.brennaborense_P21,Treponema.brennaborense,0.37962038,0.103776312,P21,0.003871956,6,0.103776312,rhythem,cluster1
uncultured.phage_P21,uncultured.phage,0.216783217,0.070010392,P21,0.019760847,7,0.070010392,rhythem,cluster1
uncultured.phage_P25,uncultured.phage,0.137862138,0.089306471,P25,0.00675362,7,0.060939061,rhythem,cluster1
Veillonella.atypica_P06,Veillonella.atypica,0.125069836,0.017808209,P06,2.632064299,8,0.017808209,rhythem,cluster1
Veillonella.atypica_P08,Veillonella.atypica,0.013986014,0.006883118,P08,0.447487078,8,0.006883118,rhythem,cluster1
Veillonella.atypica_P15,Veillonella.atypica,0.125069836,0.145091462,P15,0.315543071,8,0.125069836,rhythem,cluster1
Veillonella.atypica_P16,Veillonella.atypica,0.030969031,0.139415497,P16,1.121022985,8,0.030969031,rhythem,cluster1
Veillonella.atypica_P17,Veillonella.atypica,0.508491508,0.075818028,P17,1.448044774,8,0.075818028,rhythem,cluster1
Veillonella.atypica_P18,Veillonella.atypica,0.060939061,0.059232059,P18,0.443267813,8,0.059232059,rhythem,cluster1
Veillonella.atypica_P20,Veillonella.atypica,0.216783217,0.009748414,P20,0.249240318,8,0.009748414,rhythem,cluster1
Veillonella.atypica_P21,Veillonella.atypica,0.216783217,0.012576629,P21,1.410992839,8,0.012576629,rhythem,cluster1
Veillonella.atypica_P22,Veillonella.atypica,0.125069836,0.039853128,P22,0.104013813,8,0.039853128,rhythem,cluster1
Veillonella.atypica_P23,Veillonella.atypica,0.350649351,0.096239867,P23,0.692766119,8,0.096239867,rhythem,cluster1
Veillonella.atypica_P24,Veillonella.atypica,0.125069836,0.055313902,P24,0.933188328,8,0.027972028,rhythem,cluster1
Veillonella.atypica_P26,Veillonella.atypica,0.216783217,0.026176518,P26,1.125680046,8,0.026176518,rhythem,cluster1
Veillonella.atypica_P27,Veillonella.atypica,0.37962038,0.076039693,P27,0.282142571,8,0.076039693,rhythem,cluster1
Actinomyces.sp..Chiba101_P14,Actinomyces.sp..Chiba101,0.216783217,0.052250616,P14,0.011356886,7,0.052250616,rhythem,cluster2
Actinomyces.sp..oral.taxon.897_P13,Actinomyces.sp..oral.taxon.897,0.216783217,0.016409028,P13,0.007295214,8,0.016409028,rhythem,cluster2
Actinomyces.sp..oral.taxon.897_P14,Actinomyces.sp..oral.taxon.897,0.216783217,0.062319212,P14,0.029107246,8,0.062319212,rhythem,cluster2
Capnocytophaga.gingivalis_P05,Capnocytophaga.gingivalis,0.034965035,0.135837414,P05,0.005522662,7,0.034965035,rhythem,cluster2
Capnocytophaga.gingivalis_P13,Capnocytophaga.gingivalis,0.060939061,0.058649915,P13,0.198813561,8,0.058649915,rhythem,cluster2
Capnocytophaga.gingivalis_P14,Capnocytophaga.gingivalis,0.125069836,0.114603779,P14,0.029107076,8,0.114603779,rhythem,cluster2
Cardiobacterium.hominis_P13,Cardiobacterium.hominis,0.350649351,0.060473942,P13,0.03690288,8,0.060473942,rhythem,cluster2
Cardiobacterium.hominis_P14,Cardiobacterium.hominis,0.350649351,0.028975779,P14,0.024697746,8,0.028975779,rhythem,cluster2
Cardiobacterium.hominis_P22,Cardiobacterium.hominis,0.216783217,0.078005293,P22,0.005446991,8,0.078005293,rhythem,cluster2
Caudovirales.sp._P14,Caudovirales.sp.,0.216783217,0.009632036,P14,0.006257083,8,0.009632036,rhythem,cluster2
Corynebacterium.matruchotii_P13,Corynebacterium.matruchotii,0.216783217,0.009386523,P13,0.007155549,7,0.009386523,rhythem,cluster2
Corynebacterium.matruchotii_P14,Corynebacterium.matruchotii,0.350649351,0.060941409,P14,0.010388043,8,0.060941409,rhythem,cluster2
Corynebacterium.matruchotii_P22,Corynebacterium.matruchotii,0.125069836,0.126798311,P22,0.001967148,7,0.125069836,rhythem,cluster2
Gemella.haemolysans_P03,Gemella.haemolysans,0.576423576,0.102423863,P03,0.301175167,8,0.102423863,rhythem,cluster2
Gemella.haemolysans_P05,Gemella.haemolysans,0.021978022,0.002731239,P05,0.032924535,8,0.002731239,rhythem,cluster2
Gemella.haemolysans_P07,Gemella.haemolysans,0.013986014,0.098673515,P07,2.0511521,8,0.098673515,rhythem,cluster2
Gemella.haemolysans_P08,Gemella.haemolysans,0.327672328,0.020764875,P08,3.96773628,8,0.020764875,rhythem,cluster2
Gemella.haemolysans_P09,Gemella.haemolysans,0.182817183,0.022231978,P09,0.030648769,8,0.022231978,rhythem,cluster2
Gemella.haemolysans_P11,Gemella.haemolysans,0.047952048,0.004698344,P11,0.438497257,8,0.004698344,rhythem,cluster2
Gemella.haemolysans_P15,Gemella.haemolysans,0.137862138,0.03430641,P15,0.856178869,8,0.03430641,rhythem,cluster2
Gemella.haemolysans_P22,Gemella.haemolysans,0.068931069,0.03763103,P22,0.260285994,8,0.03763103,rhythem,cluster2
Gemella.haemolysans_P26,Gemella.haemolysans,0.060939061,0.000381765,P26,0.66990738,8,0.000381765,rhythem,cluster2
Haemophilus.haemolyticus_P07,Haemophilus.haemolyticus,0.021978022,0.18457068,P07,0.295418957,8,0.021978022,rhythem,cluster2
Haemophilus.haemolyticus_P08,Haemophilus.haemolyticus,0.021978022,0.015062962,P08,0.029962384,8,0.015062962,rhythem,cluster2
Haemophilus.haemolyticus_P09,Haemophilus.haemolyticus,0.182817183,0.106827196,P09,0.006314306,8,0.060939061,rhythem,cluster2
Haemophilus.haemolyticus_P11,Haemophilus.haemolyticus,0.076767858,0.009669156,P11,0.024832135,8,0.009669156,rhythem,cluster2
Haemophilus.haemolyticus_P13,Haemophilus.haemolyticus,0.216783217,0.042860257,P13,0.077854266,8,0.042860257,rhythem,cluster2
Haemophilus.haemolyticus_P14,Haemophilus.haemolyticus,0.027972028,0.035627867,P14,0.016948457,7,0.035627867,rhythem,cluster2
Haemophilus.influenzae_P07,Haemophilus.influenzae,0.013986014,0.153305459,P07,0.053999576,8,0.013986014,rhythem,cluster2
Haemophilus.influenzae_P13,Haemophilus.influenzae,0.216783217,0.006285521,P13,0.040795535,7,0.006285521,rhythem,cluster2
Haemophilus.influenzae_P14,Haemophilus.influenzae,0.007992008,0.036586063,P14,0.053315107,8,0.013986014,rhythem,cluster2
Haemophilus.influenzae_P15,Haemophilus.influenzae,0.350649351,0.097852295,P15,2.27311968,8,0.097852295,rhythem,cluster2
Haemophilus.parahaemolyticus_P07,Haemophilus.parahaemolyticus,0.000999001,0.038263652,P07,0.098628269,8,0.038263652,rhythem,cluster2
Haemophilus.parahaemolyticus_P08,Haemophilus.parahaemolyticus,0.200799201,0.091278435,P08,1.039514635,8,0.091278435,rhythem,cluster2
Haemophilus.parahaemolyticus_P09,Haemophilus.parahaemolyticus,0.08991009,0.127766143,P09,0.001506161,7,0.030969031,rhythem,cluster2
Haemophilus.parahaemolyticus_P11,Haemophilus.parahaemolyticus,0.156251964,0.030450255,P11,0.03851776,8,0.030450255,rhythem,cluster2
Haemophilus.parahaemolyticus_P13,Haemophilus.parahaemolyticus,0.216783217,0.024043856,P13,0.034354878,8,0.024043856,rhythem,cluster2
Haemophilus.parahaemolyticus_P15,Haemophilus.parahaemolyticus,0.125069836,0.114377776,P15,0.106902053,8,0.114377776,rhythem,cluster2
Haemophilus.parahaemolyticus_P22,Haemophilus.parahaemolyticus,0.068931069,0.065353419,P22,0.066431033,8,0.065353419,rhythem,cluster2
Haemophilus.sp..oral.taxon.036_P07,Haemophilus.sp..oral.taxon.036,0.08991009,0.180735116,P07,0.006207611,5,0.08991009,rhythem,cluster2
Haemophilus.sp..oral.taxon.036_P11,Haemophilus.sp..oral.taxon.036,0.182817183,0.110968899,P11,0.005981185,5,0.034965035,rhythem,cluster2
Haemophilus.sp..oral.taxon.036_P14,Haemophilus.sp..oral.taxon.036,0.030969031,0.035543363,P14,0.008470244,6,0.035543363,rhythem,cluster2
Haemophilus.sp..oral.taxon.036_P22,Haemophilus.sp..oral.taxon.036,0.060939061,0.118401272,P22,0.010778898,8,0.118401272,rhythem,cluster2
Inoviridae.sp._P13,Inoviridae.sp.,0.137862138,0.007040759,P13,0.038327437,8,0.007040759,rhythem,cluster2
Inoviridae.sp._P14,Inoviridae.sp.,0.125069836,0.004976096,P14,0.011408398,8,0.004976096,rhythem,cluster2
Lancefieldella.parvula_P09,Lancefieldella.parvula,0.08991009,0.084593235,P09,0.116275663,8,0.013986014,rhythem,cluster2
Lancefieldella.parvula_P13,Lancefieldella.parvula,0.230769231,0.028553844,P13,0.344890484,8,0.028553844,rhythem,cluster2
Lancefieldella.parvula_P14,Lancefieldella.parvula,0.125069836,0.010998612,P14,0.12252955,8,0.010998612,rhythem,cluster2
Neisseria.elongata_P13,Neisseria.elongata,0.027972028,0.015136686,P13,0.691738598,8,0.015136686,rhythem,cluster2
Neisseria.elongata_P14,Neisseria.elongata,0.060939061,0.015307998,P14,0.143546698,8,0.015307998,rhythem,cluster2
Neisseria.elongata_P22,Neisseria.elongata,0.027972028,0.067206068,P22,0.040795278,8,0.067206068,rhythem,cluster2
Neisseria.meningitidis_P07,Neisseria.meningitidis,0.076767858,0.149129829,P07,0.057115226,8,0.076767858,rhythem,cluster2
Neisseria.meningitidis_P13,Neisseria.meningitidis,0.230769231,0.009312482,P13,0.127395965,8,0.009312482,rhythem,cluster2
Neisseria.meningitidis_P14,Neisseria.meningitidis,0.37962038,0.006722312,P14,0.1394535,8,0.006722312,rhythem,cluster2
Neisseria.mucosa_P13,Neisseria.mucosa,0.137862138,0.009286086,P13,3.955465469,8,0.009286086,rhythem,cluster2
Neisseria.mucosa_P14,Neisseria.mucosa,0.216783217,0.022820793,P14,0.619462239,8,0.022820793,rhythem,cluster2
Olsenella.sp..oral.taxon.807_P14,Olsenella.sp..oral.taxon.807,0.216783217,0.114111464,P14,0.04193689,8,0.114111464,rhythem,cluster2
Porphyromonas.gingivalis_P13,Porphyromonas.gingivalis,0.137862138,0.051297689,P13,0.005313354,4,0.021978022,rhythem,cluster2
Porphyromonas.gingivalis_P14,Porphyromonas.gingivalis,0.060939061,0.038273633,P14,0.006715327,7,0.021978022,rhythem,cluster2
Prevotella.denticola_P14,Prevotella.denticola,0.350649351,0.038575785,P14,0.020676389,8,0.038575785,rhythem,cluster2
Prevotella.fusca_P14,Prevotella.fusca,0.137862138,0.028823913,P14,0.017302633,6,0.028823913,rhythem,cluster2
Prevotella.histicola_P13,Prevotella.histicola,0.137862138,0.050226914,P13,1.107200165,8,0.050226914,rhythem,cluster2
Prevotella.jejuni_P13,Prevotella.jejuni,0.137862138,0.070403549,P13,0.360058141,6,0.027972028,rhythem,cluster2
Prevotella.jejuni_P14,Prevotella.jejuni,0.216783217,0.044108299,P14,0.56954322,8,0.044108299,rhythem,cluster2
Prevotella.multiformis_P14,Prevotella.multiformis,0.068931069,0.022044592,P14,0.021802343,4,0.013986014,rhythem,cluster2
Prevotella.oris_P13,Prevotella.oris,0.060939061,0.003988708,P13,0.058227448,7,0.003988708,rhythem,cluster2
Prevotella.oris_P14,Prevotella.oris,0.350649351,0.043660721,P14,0.0399046,8,0.043660721,rhythem,cluster2
Prevotella.scopos_P13,Prevotella.scopos,0.350649351,0.022216285,P13,0.02203513,4,0.022216285,rhythem,cluster2
Prevotella.scopos_P14,Prevotella.scopos,0.350649351,0.042825607,P14,0.028430701,7,0.042825607,rhythem,cluster2
Prevotella.sp..oral.taxon.299_P13,Prevotella.sp..oral.taxon.299,0.216783217,0.004739621,P13,0.163117467,5,0.004739621,rhythem,cluster2
Prevotella.sp..oral.taxon.299_P14,Prevotella.sp..oral.taxon.299,0.350649351,0.006913916,P14,0.266124943,7,0.006913916,rhythem,cluster2
Prevotella.sp..oral.taxon.475_P13,Prevotella.sp..oral.taxon.475,0.030969031,0.002365894,P13,0.008391764,6,0.000999001,rhythem,cluster2
Prevotella.veroralis_P14,Prevotella.veroralis,0.350649351,0.059627828,P14,1.150480292,8,0.059627828,rhythem,cluster2
Siphoviridae.sp._P07,Siphoviridae.sp.,0.034965035,0.147707357,P07,0.122450059,8,0.034965035,rhythem,cluster2
Siphoviridae.sp._P08,Siphoviridae.sp.,0.013986014,0.023585536,P08,0.522027009,8,0.023585536,rhythem,cluster2
Siphoviridae.sp._P09,Siphoviridae.sp.,0.443556444,0.114165509,P09,0.113666668,8,0.114165509,rhythem,cluster2
