,P03_210705_17,P03_210705_21,P03_210706_09,P03_210706_13,P03_210706_17,P03_210706_21,P03_210707_09,P03_210707_13,P05_210705_17,P05_210705_21,P05_210706_09,P05_210706_13,P05_210706_17,P05_210706_21,P05_210707_09,P05_210707_13,P07_210705_17,P07_210705_21,P07_210706_09,P07_210706_13,P07_210706_17,P07_210706_21,P07_210707_09,P07_210707_13,P08_210705_17,P08_210705_21,P08_210706_09,P08_210706_13,P08_210706_17,P08_210706_21,P08_210707_09,P08_210707_13,P09_210705_17,P09_210705_21,P09_210706_09,P09_210706_13,P09_210706_17,P09_210706_21,P09_210707_09,P09_210707_13,P11_210705_17,P11_210705_21,P11_210706_09,P11_210706_13,P11_210706_17,P11_210706_21,P11_210707_09,P11_210707_13,P06_day1_09,P06_day1_13,P06_day1_17,P06_day1_21,P06_day2_09,P06_day2_13,P06_day2_17,P06_day2_21,P13_day1_09,P13_day1_13,P13_day1_17,P13_day1_21,P13_day2_09,P13_day2_13,P13_day2_17,P13_day2_21,P14_day1_09,P14_day1_13,P14_day1_17,P14_day1_21,P14_day2_09,P14_day2_13,P14_day2_17,P14_day2_21,P15_day1_09,P15_day1_13,P15_day1_17,P15_day1_21,P15_day2_09,P15_day2_13,P15_day2_17,P15_day2_21,P16_day1_09,P16_day1_13,P16_day1_17,P16_day1_21,P16_day2_09,P16_day2_13,P16_day2_17,P16_day2_21,P17_day1_09,P17_day1_13,P17_day1_17,P17_day1_21,P17_day2_09,P17_day2_13,P17_day2_17,P17_day2_21,P18_day1_09,P18_day1_13,P18_day1_17,P18_day1_21,P18_day2_09,P18_day2_13,P18_day2_17,P18_day2_21,P19_day1_09,P19_day1_13,P19_day1_17,P19_day1_21,P19_day2_09,P19_day2_13,P19_day2_17,P19_day2_21,P20_day1_09,P20_day1_13,P20_day1_17,P20_day1_21,P20_day2_09,P20_day2_13,P20_day2_17,P20_day2_21,P21_day1_09,P21_day1_13,P21_day1_17,P21_day1_21,P21_day2_09,P21_day2_13,P21_day2_17,P21_day2_21,P22_day1_09,P22_day1_13,P22_day1_17,P22_day1_21,P22_day2_09,P22_day2_13,P22_day2_17,P22_day2_21,P23_day1_09,P23_day1_13,P23_day1_17,P23_day1_21,P23_day2_09,P23_day2_13,P23_day2_17,P23_day2_21,P24_day1_09,P24_day1_13,P24_day1_17,P24_day1_21,P24_day2_09,P24_day2_13,P24_day2_17,P24_day2_21,P25_day1_09,P25_day1_13,P25_day1_17,P25_day1_21,P25_day2_09,P25_day2_13,P25_day2_17,P25_day2_21,P26_day1_09,P26_day1_13,P26_day1_17,P26_day1_21,P26_day2_09,P26_day2_13,P26_day2_17,P26_day2_21,P27_day1_09,P27_day1_13,P27_day1_17,P27_day1_21,P27_day2_09,P27_day2_13,P27_day2_17,P27_day2_21
Fusobacterium.pseudoperiodonticum,0.011765222,0.008309203,0.00354919,0.000696101,4.95E-05,0.000815077,0.001850438,0.00015754,0,0,0,2.91E-05,0,0,0.000173713,0,0.000322342,0.004641317,0.001572593,0.000144954,0.008672037,0.000308585,0.000171456,5.88E-05,0,0,0.002946651,0.00795087,0,0.003253202,0.008039522,0.000991982,1.38E-05,0.000241149,5.40E-05,1.67E-06,0,0.000495407,0.001200206,0.000461797,0.000192166,0.005445223,0.003515536,6.50E-05,0.013651329,0.001164264,0.00019596,0.000125953,0.030255997,0.000517226,0.003300609,0.007894208,0.02040459,0.000279605,0.005510479,8.90E-05,0.001274566,0.006691104,0.000630687,0.06968331,0.001870592,0.002879455,0.004234654,0.06596355,0.003491602,0.002726068,0.010722376,0.051143534,0.002655761,0.000832773,8.94E-05,0.031770111,0.006278215,0.004372681,0.007082021,0.034555088,0.009372241,0.004011706,0.00981177,0.002537376,0.082121819,0.000166666,0.001016688,1.76E-05,0.006944513,0.004912063,0.000478286,0.001185991,0.046490702,0.010086593,0.020178658,0.016211729,0.06378515,0.045697509,0.005710365,0.027551233,0.009968043,0,0,0,0.001533165,0,0,0,0.000138114,0,1.91E-05,0.000157027,0.000947013,0.000297448,4.35E-05,2.30E-05,0.038581,0.005479061,0.001849265,0.000757255,0.089876675,0.001456405,0.006027041,0.013418623,0.07560921,0.005615846,0.022892046,0.002521933,0.072480242,0.005758768,0.056297314,0.016535071,0.003835464,0.005046204,0.004894033,0.01032479,0.006975816,0.002259985,0.001921555,0.001084085,0.323274584,0.221577473,0.112040675,0.299592734,0.578725013,0.102408281,0.31999232,0.926732956,0.000519097,0,0,0,0.004720971,0,0.000446643,0,0.010066895,0.001415679,0.011117332,0.003517697,0.007114659,0,0.003613468,0.001413767,0.040400817,0.001632491,0,0.007375939,0.083545893,0.012304785,0.001976315,0.011830322,0.124207963,0.000100869,0,0,0.004654761,0,0,0
Prevotella.sp..oral.taxon.299,0.002030742,0.000333013,0.001557366,2.93E-05,7.68E-06,0.000117117,0.002083468,8.46E-06,8.66E-05,0,0.000105753,2.41E-05,0,0,0.000600402,0,7.58E-05,0.001178076,0.002861667,2.09E-05,0.002525047,8.57E-05,0.000596977,4.32E-05,0.000163685,0.000330663,0.009288177,0.000499602,1.51E-05,0.001321133,0.016170625,0.000317186,0,0,0.000177641,0,4.24E-05,4.50E-05,0.000419863,0,0.000469841,0.001509455,0.021656089,5.97E-05,0.015351903,0.00018754,0.000384689,5.12E-05,0.071133495,0,0.001686452,0.001157113,0.08943613,0,0.006736136,0.000185709,0,0.000164098,0,0.078121128,0,0.000118104,6.60E-05,0.084648137,0.000604719,0.000562222,0.000594546,0.150030547,0.000440811,0.001236316,0,0.112655782,0.001181935,0.000608618,0.001454541,0.001190874,0.01165412,9.05E-05,0.000175316,0.000493368,0.043537933,9.04E-05,0.000641941,9.39E-06,0.045071326,0.021740673,0.000706856,0.000725129,0.036965986,0.000361634,0.006829683,0,0.025604668,0.004757941,0.001345052,0,0.028610054,0,0.000184233,0,0.014319141,0,0.000341345,0.000435524,8.76E-05,0,0,0,0.00021728,0,1.35E-05,0,0.096298511,0.000417971,0.000640706,0,0.078079972,0.00033551,0.000792139,0.002697088,0.018205433,5.88E-05,0,0.000112973,0.0227824,0.000108289,0,0,0.010341084,0.0013086,0.002103786,0.006839232,0.013090828,0.000692412,0.00039166,0.000807895,0.12284983,0.000919021,0.004286642,0.003031054,0.018837915,0.001000408,0.004275082,0.001575428,0.015295086,0.000436869,6.23E-05,2.00E-05,0.103693659,3.04E-05,3.36E-05,0.000278399,0.026857218,6.66E-05,0.000934946,0.001203504,0.018360487,0.001747192,0.000716551,5.10E-05,0.134791996,0.000665234,0.000195579,0.000272278,0.47616673,0.002110243,0.000131774,0.003498317,0.295304734,1.11E-05,0.004006197,0,0.032034689,0.008942441,0.000425528,0.000161431
Selenomonas.sp..oral.taxon.126,0,0.004595015,0.000395733,8.99E-05,4.35E-05,6.49E-05,0.000363936,6.75E-05,0,3.34E-05,1.02E-05,3.54E-05,0,0,7.18E-05,1.17E-06,0.000128324,0.001168876,0.000479929,0.000506497,0.000242033,6.79E-05,6.93E-05,3.36E-05,0.00028,0,0.000767395,0.000551629,5.79E-05,0.003748627,0.001269652,0.000456298,2.62E-05,0.000230648,7.61E-05,6.82E-06,0.000365821,0.000353044,0.00048495,0.000718712,8.07E-05,0.00209232,0.004301394,0.00054334,0.003684856,0.001086264,0.000239235,0.000467889,0.051822633,0.008546805,0.049187923,0.020210241,0.030565534,0.006219164,0.039014194,0.000463356,0.000321975,0,4.95E-05,0.003973761,0.000682025,0,0.000495566,0.003000247,0.000170081,0.000113969,0.000258466,0.001332143,0.000267027,0,4.52E-05,0,0.000157042,0.000173557,0,0,0.000370675,0.000106677,0.000191499,0.000217226,0.006010248,2.61E-05,0.000177348,1.01E-05,0.000391451,0.001547711,5.18E-05,0.000423948,0.008055712,0.000913949,0.010011718,0.001872975,0.001433035,0.001563892,0.001092577,0,0,0,0,0,0.000526408,3.45E-05,0,0,9.46E-05,0.000123927,2.15E-05,6.76E-05,0.000523013,0.000127834,2.81E-05,2.55E-05,0.002073196,0.000443387,0,0,0,0,0,0,0.02200736,0.00121456,0.023053441,0.002587155,0.01917338,0.001526146,0.012238447,0.007551923,0.000862725,0.00066412,0.00083758,0.00295531,0.000743182,7.38E-05,0.000116479,7.26E-05,0.010957123,0.004214233,0.003012909,0.034261453,0.029995317,0.001971123,0.017609504,0.018463376,0.001193922,6.08E-05,1.97E-05,6.95E-05,0.006059038,8.16E-05,2.11E-05,0,0.001521477,0.000612233,0.000689561,0.000998658,0.001691174,0.00080189,0.00349653,0.000365818,0.005921167,0.002475414,5.07E-05,0.000772169,0.005004177,0.001869052,0.000368527,0.015196408,0.002564675,2.70E-05,0,8.42E-05,0.001276513,0,0,0
TM7.phylum.sp..oral.taxon.952,0.039686504,0.003759726,0.002384834,0.000469331,0.000173488,0.001735176,0.001261062,3.90E-05,0.007467729,0,0.000422528,0.001384095,0.000176783,0.00054394,0.001198852,5.58E-05,0,0,0.000471908,0.000308493,0.004277834,0.000366049,0.000399997,0.000105584,0,0,0.009900552,0,0,0.005945118,0.002559331,0,0.000353418,0.0084185,0.000663603,2.02E-05,0.001367883,0.002383081,0.00365444,0.001788618,0.00049368,0.002430368,0.009977031,0.000652955,0.009933098,0.001197335,0.000288358,0.000441764,0.039759679,0,0,0,0.052563441,0,0,0.000280467,0.000366777,0.001416108,0.00019071,0.069493044,0,0.001023279,0.000883279,0.028068921,0.002523824,0.002509006,0.002670625,0.031187006,0.002528259,0.002548342,0.000196196,0.005160773,0.00309622,0.000988837,0.002604938,0.003017568,0.00869164,0.000410006,0.000990498,0,0.034071276,0.00015858,0,1.98E-05,0.001503876,0.003095422,0.000195516,0.000290834,0.053941523,0.002761181,0.01280567,0.005186532,0.019482834,0.008892985,0.002382139,0.013369391,0.006054025,0,0,0,0.016636012,0.000162433,0.000752126,0.001738758,0.002107746,0.000350241,0.00029868,0.00077868,0.009170759,0.001507802,0.000958472,7.69E-05,0.028671623,0.004714492,0.004645632,0.005127963,0.012473626,0.000873236,0.002092236,0.006495867,0.034176313,0.00138759,0.002392622,0.003012236,0.063914799,0.001759906,0.031541196,0.007718626,0.001533284,0.000669165,0.000726967,0.001864065,0.001243701,0.000473165,0.00042639,0.000455825,0.015303802,0.002483846,0.00170016,0,0.009123334,0.001365857,0,0,0.007401932,0.001367861,0.000756455,0.000247827,0.009425169,0.000202579,3.33E-05,0.001082402,0.009791521,0.000358016,0.004822888,0.002334995,0.008262324,0.003062127,0.003715058,0.000139797,0.032331377,0.005734519,0.000895976,0.002932894,0.021605178,0.005237898,0.002309368,0.087087063,0,0,0,0,0,0,0,0
Prevotella.histicola,0.062481954,0.002411117,0.007786979,0.000387937,0,0.001695984,0.005321635,1.22E-05,0.055953608,0.00087635,0.020775552,0.012734234,0.00269768,0.00238105,0.035435087,1.92E-05,0.00012079,0.001372675,0.002689691,3.86E-05,0.013873542,0.000304745,0.00134715,9.60E-05,0.003231231,0.056211947,0.419230658,0.028696109,0.000763869,0.069225208,0.194544463,0.019953271,2.24E-05,0.000592936,0.000163281,0,0.000118718,0.000252544,0.000733336,0,0.009119141,0.024764131,0.229365669,0.003619401,0.221019647,0.008559989,0.007136746,0.001874731,1.226106802,0.002235476,0.020856522,0.06674756,0.914611495,0.001255069,0.082466806,0.004364514,7.76E-05,0.007534453,0.001081336,0.823356427,0.000159552,0.003356953,0.000271122,0.271362722,0,0,0,0.019528533,0,0,0,0.00877759,0.006438231,0.000389247,0.016701215,0.006658577,0.052280377,0,0,0,0.615643682,0.001089628,0.001096117,6.46E-05,0.030606158,0.045207422,0.000803074,0.0005098,0.0192415,0,0,0,0.006643836,0,0,0,0.109496196,0.003579132,0.000424518,0.000375649,0.340808078,0.001062628,0.012573511,0.010742051,0.004067594,0.000376153,0.000907264,0.002815365,0.013551123,0.001482608,0.00238045,0.000130076,0.010060687,0,0,0,0.01695084,0,0,0,0.773081929,0.006458609,0.028947571,0.017884892,1.387609575,0.015634081,0.116962092,0.030360834,0.009410356,0.001094394,0.003449056,0.00699298,0.01154618,0.001246394,0.001362072,0.001823856,0.088524794,0.005364239,0.005153444,0.003486585,0.024294573,0.000869075,0.005351056,0.007507218,0.067757499,0.006086414,0.00204358,0.001227656,0.13957301,0.000327355,0.000331854,0.003270482,0.193720512,0.002803209,0.11504646,0.100232054,0.266368836,0.083013699,0.064948444,0.00123319,0.277666194,0.004746705,0.004572335,0.005169824,0.757769861,0.030365209,0.004042627,0.23455865,0.011276625,0,0,0,0.005029706,0,0,0
Prevotella.veroralis,0.122260795,0.004403672,0.009268556,0.00039751,1.37E-05,0.001771766,0.008847936,3.74E-05,0.026360062,0.000128592,0.009981653,0.007302718,0.001148943,0.001179807,0.043343155,1.01E-05,0.00017989,0.004048328,0.002454482,5.31E-05,0.006236252,0,0.000540609,6.03E-05,0.001407784,0.012013929,0.041169438,0.002567141,9.29E-05,0.008147338,0.033090061,0.003059705,0.001742535,0.049573777,0.010748814,0,0.008903822,0.021052545,0.053334348,0.002933856,0.012620715,0.138895749,0.194766437,0.000432921,0.17166794,0.005293289,0.008899269,0.001796538,0.566235481,0.001055387,0.022230511,0.036696638,0.745712743,0,0.038573355,0.001128355,0,0,0,0.358632683,0,0,0.000665191,0.200397002,0.035335237,0.001240448,0.045485209,0.764379148,0.019280375,0.045720776,0.00072529,0.238313809,0.00099382,0,0.001928884,0,0.007742993,0,0,0,0.903332129,0.001140524,0.000538032,5.96E-05,0.039440778,0.03169651,0.000946786,0.000916969,0.710466851,0.013041058,0.132713421,0.008466455,0.243841802,0.016490467,0.016821466,0.015351548,0.003265335,0,0,0,0.002552536,0,0.000589733,0,0.000375696,3.33E-05,4.99E-05,8.91E-05,0.001405375,0,9.26E-05,0,0.027601839,0,0,0,0.040983681,0,0,0,0.110141942,0.000653414,0.008969717,0.001554954,0.270271755,0.001356455,0.016846947,0.003101003,0.019754757,0.00159421,0.00829713,0.029872876,0.021122077,0.001487539,0.003221561,0.001908042,0.05544372,0.001550148,0.002081998,0.004511537,0.025319726,0.000434929,0.005841007,0.007363515,0.204027116,0.00716469,0.00656463,0.000336565,0.350488488,0.000152045,0.000121177,0.00977203,0.27993043,0.003377288,0.050511933,0.014144419,0.218998348,0.047662917,0.079864284,0.001623236,0.347665168,0.003052046,0.000856057,0.002501979,0.417982826,0.004844291,0.000792563,0.174152763,0.010963077,0,0,0,0.007018741,0.002071329,0,0
Tannerella.forsythia,0.001943632,0.00095764,0.000280916,6.48E-05,5.59E-05,0,0.000264771,5.83E-05,0,0,2.15E-05,0,0,0,4.34E-05,0,0.000389683,0.009558741,0.004772802,0.001120919,0.001432118,0.000485406,0.000389357,6.55E-05,0.001212296,0.0039679,0.045932684,0.077455409,4.63E-05,0.042812933,0.027959952,0.023522442,8.13E-05,0.001396645,6.56E-05,1.49E-05,0.000274828,0.000328362,0.000153538,0.000680175,0.001994621,0.009477459,0.022175962,0.005073232,0.026201198,0.011837472,0.002079535,0.006166782,0.040371696,0.058651465,0.733069472,0.431646038,0.405919386,0.136285548,0.507692069,0.00354243,0,0,0,0,0,0,0.000103446,0,0.003752551,0.001385273,0.01736752,0.021240459,0.018751789,0.001748688,0.000738184,0.002489204,0.003054515,0.003481492,0.000841523,0.007987227,0.000825109,0.010692494,0.010730244,0.00069376,0.00112666,0,0,0,0,0.059173868,0,0,0.030945792,0.041055994,0.035623083,0.015382771,0.035902619,0.07637568,0.002144648,0.025094857,0.000319942,0.000233533,0,0,0.00110843,2.94E-05,0,0,0.00042967,0.000211758,5.65E-05,0.000138334,0.002053608,0.001445073,0.000109202,0.00021516,0.003280996,0.011982238,0.000949484,0.003498239,0.004398042,0.001464736,0.000323393,0.001632051,0.026056064,0.005864616,0.005560866,0.001723689,0.067839293,0.011645407,0.056851003,0.054396325,0.004124065,0.003078793,0.012547545,0.013489875,0.023446643,0.009900763,0.010813001,0.0020766,0.025870345,0.085095925,0.031374958,0.123230824,0.1195039,0.01440543,0.074002166,0.182547198,0.001084338,0,3.36E-05,0,0.001156126,1.84E-05,0,0,0.002809073,0.005343405,0.009036745,0.006489658,0.003454693,0.004779016,0.014254497,0.004991748,0.001724233,0.000617263,5.23E-05,0.001055706,0.003937088,0.003984796,0.00055936,0.00315703,0.010842077,0,0.000665792,9.78E-05,0.001559794,0.000357,0,0
Leptotrichia.sp..oral.taxon.212,0.002547942,0.00047744,0.00054504,0.00013445,0,0.000604112,0.000181672,2.86E-05,0,0,0,0,1.13E-05,0,0,0,0.00015705,0.001351638,0.00079068,0.000141582,0.002469507,0.000107539,0.000486287,3.82E-05,0.000642955,0.00154307,0.003003472,0.000355064,1.29E-05,0.003135801,0.003374924,0.00157428,7.02E-06,9.75E-05,1.50E-05,1.44E-06,4.68E-05,4.55E-05,9.93E-05,0.000178099,0,0.000556927,0,0,0.000529195,0,1.43E-05,0,0.013079577,0,0.001171615,0.001829921,0.014411657,0.000156201,0.002297695,7.76E-05,0.000122318,0.000360459,9.82E-05,0.008291456,0.000125898,0.000104525,6.60E-05,0.001040483,0.000409575,0.00023165,0.000653759,0.005318044,0.000543327,0.000465055,2.34E-05,0.005519428,0.000100557,0,0.000230191,0.000990625,0.001095491,7.22E-05,0,0,0.026121954,0.000134386,0.000826841,2.26E-05,0.003821279,0.002675567,0.000231239,0.00076456,0.009937598,0.000980222,0.003492453,0.001403311,0.01894789,0.003522075,0.001148621,0.003885316,0.002944284,0,0.000292861,0.000112778,0.002545686,4.07E-05,9.45E-05,0.000481716,0.000203013,2.32E-05,8.89E-06,2.60E-05,0.000371584,0,4.10E-05,0,0.003387185,0.000255114,0.000103813,0,0.005375822,0,0.000196385,0.001802368,0.004747851,0.000133068,0.000585396,0.000236877,0.005656842,9.14E-05,0.001083015,0.000546066,0.001402254,0.00201519,0.000907103,0.00650168,0.001335185,0.000320918,0.000335645,0.000530412,0.01322086,0.001539329,0.001162238,0.0019093,0.004241655,0.000399929,0.001334862,0.001395545,0,0,0,0,0,0,5.82E-05,0,0.002609146,0.00019814,0.002813079,0.00432271,0.007278892,0.001350287,0.002664567,0.00010353,0.007062987,0.000427825,0,0.000256698,0.007528194,0.000575878,0.000180334,0.002005827,0.030545929,1.93E-05,0.000795807,0,0.006456323,0.001114371,0.000163616,0.000144472
Campylobacter.gracilis,0.0017776,0.001511434,0.000155661,8.00E-05,7.21E-05,0.000575943,6.19E-05,1.13E-05,0,0,0,0,0,0,2.93E-05,0,3.32E-05,0.000316797,0.000222711,0.000365442,0.000249312,0.000131618,1.55E-05,7.68E-06,9.23E-05,0.000110221,0.00110164,0.000439022,1.32E-05,0.000732664,0.000429042,0.000498542,2.46E-05,0,2.18E-05,2.06E-06,9.17E-05,0,0,0.000113443,3.68E-05,0.000350756,0.001707391,0.000207667,0.00096945,0.000162419,0.001929136,0.000115067,0.001142339,0.000998941,0.001643148,0,0.002178925,0.000230407,0.00085556,0,0.000236458,0.000697797,8.00E-05,0.00268643,0.000987632,0.000243491,0.001192337,0.003021273,0.000111123,0.000154487,0.000758891,0.002726389,0.000344588,0,2.52E-05,0.000689787,0.000229229,0.000240772,0.000245939,0.000699354,0.000869394,0.000330807,0.000325365,0.000149112,0,2.29E-05,0,0,0,0.000292021,2.02E-05,0,0.00239901,0.000496831,0,0,0.001238374,0.000735588,0,0.000796384,0,0,0.000332402,0,0.000256509,0.000189908,0,0,0.000185076,0.000228072,0.00030046,3.77E-05,0.001050683,0.000456068,6.25E-05,3.06E-05,0.001324394,0.001690816,0.000113035,0.000395877,0.001671575,0.000158395,0.000147197,0,0.001174526,0.000111518,0.000379593,0.000158008,0.002705433,0.000111508,0.001367512,0.000318436,0.000109277,8.08E-05,7.15E-05,0.000470118,0.000257854,9.65E-05,8.13E-05,0.000107239,0.003833178,0.023396428,0.001142734,0.005659149,0.004274193,0.000800557,0.001715579,0.002908623,0.00585041,8.02E-05,3.37E-05,0.000151951,0.030465599,0.000222051,1.39E-05,8.94E-05,0.000779597,0.000146571,0.000859234,0.000875425,0.001724409,0.000392797,0.001080854,0.000208868,0.003913375,0.000345101,5.13E-05,0.000945318,0.005164977,0.002928887,0.001087516,0.091826859,0.003140961,2.77E-05,0,0.00017061,0,0.00023392,0,0
Schaalia.cardiffensis,0.002243077,0.000119106,8.94E-05,4.12E-05,2.27E-05,0.000122629,7.91E-05,6.47E-06,0.000480019,0,5.13E-05,0.000186182,0,2.32E-05,0.000104864,1.24E-06,0.000507765,0.008479275,0.002646417,0.003140441,0.004622311,0.000325573,0.000312171,0.000133368,0.000270437,0.002204388,0.009739568,0.00371815,6.23E-05,0.020951124,0.00235615,0.000519662,1.88E-05,0.000313158,3.34E-05,2.31E-06,8.51E-05,0.00012709,0.000131842,0.000109019,0.000113081,0.000671228,0.001563652,0.000143664,0.001665531,0.00028864,6.05E-05,6.58E-05,1.352112801,0.220561581,3.543359506,1.275768288,1.827276831,0.405055872,2.012623817,0.059512179,0,0.000145918,2.89E-05,0.002413894,0,0,0,0.001176762,0.000686406,0.000696372,0.02169973,0.022445139,0.003217027,0.002313112,0.000808383,0.00437663,0.000324174,0.000221376,0.000365435,0,0.000820446,0,0.000154338,0,0.00377956,0,0,0,0,0.067089421,0,0,0.079347216,0.021114747,0.135584985,0.029458532,0.01557419,0.011911437,0.001568118,0.011052113,0,0,0,7.89E-05,0.00060181,0,0,0,0.000362325,0.000149434,5.12E-05,0.000425368,0.002486926,0.000288448,0.000117473,0.000149344,0.002989,0.000635341,0.000295502,0.000387357,0.002185304,0.000213162,0,0.000781979,0.0484153,0.005915458,0.033326322,0.009717814,0.102443309,0.005186965,0.055531216,0.040436384,0.00023126,0.000164306,0.000144498,0.000440051,0.000153601,8.06E-05,0,7.51E-05,0.013032811,0.01662624,0.004205811,0.015619572,0.010398007,0.006719641,0.006004339,0.010754978,0.001457314,0.000284902,0.000153926,4.09E-05,0.005047797,2.52E-05,0,0.000324643,0.007729355,0.005522413,0.00420727,0.006892961,0.014675103,0.002817722,0.014382927,0.0072929,0.005451145,0.002458281,7.43E-05,0.016338242,0.006943478,0.017771306,0.001815702,0.003067434,0,0,0,0,0,0.00043724,0,0
Caudovirales.sp.,0.006162998,0.004050419,0.000222373,4.35E-05,3.05E-05,0.000158912,8.00E-05,1.07E-05,0.000225742,0,3.42E-05,5.94E-05,0,2.18E-05,8.56E-05,4.34E-07,4.49E-05,0,0.000304969,0.000116532,0.002125693,0.000100153,0.000218361,4.46E-05,7.27E-05,0,0.000818063,0.000411228,6.40E-06,0.000742407,0.001170442,0.00015773,3.49E-05,0.000522054,0.000133201,2.47E-06,0.000181845,0.000260045,0.000490791,0.000162859,9.46E-05,0.000642046,0.00158112,7.34E-05,0.001300042,0.000345432,8.23E-05,5.80E-05,0.009281128,0.000722085,0.002613591,0.001838621,0.00710659,0.000404238,0.002073606,0.00015511,6.34E-05,0.000121126,0,0,0,0,0.000173994,0,0.00014873,0.000172254,0.000223483,0.002805639,0.000282076,0.000344898,1.57E-05,0.002264303,0.000420007,0.000137787,0.000415919,0.000929943,0.000943984,0.000104563,0,9.05E-05,0.007145314,3.17E-05,0.000121416,7.46E-06,0.000496588,0.000494189,4.06E-05,8.81E-05,0.002716138,0,0,0,0.001414397,0,0,0,0,0,0,0,0.00042775,2.72E-05,0,0.000406929,3.91E-05,9.83E-06,5.77E-06,0,0.000188623,0.000131419,3.01E-05,6.06E-06,0.000651146,0,0,0,0,0,0,0,0.005140846,0.000157338,0.000716195,0.000224546,0.006031105,0.00014208,0.001272049,0.000792869,9.76E-05,0.0001253,0.000126387,0.00028498,0.000182617,0.00010798,0.000168495,5.90E-05,0.00418034,0.001845757,0.001022885,0.002540385,0.003715512,0.000694347,0.002223203,0.005018216,0.001333309,0.00016798,4.59E-05,5.25E-05,0.004701414,2.01E-05,1.46E-05,9.73E-05,0.003781059,0.000270491,0.001529166,0.002511041,0.004535863,0.003044959,0.00893111,0.000164475,0.0054818,0.000601108,7.00E-05,0.000291939,0.005520683,0.000628518,0.000232219,0.004923254,0.011931213,0,0.01258527,0,0.001888435,0.000860765,0.001518569,0.00100419
Haemophilus.haemolyticus,0.005542332,0.00094384,0.000674682,6.77E-05,1.90E-05,0.000164883,0.000259349,0.000113308,0,0,0,0,0,0,6.51E-05,4.35E-06,0.038814778,0.241765194,0.00096023,3.21E-05,0.007810521,0.005738154,0.00026588,3.21E-05,0.000687657,0.007439813,0.005112047,0.000297205,7.98E-05,0.014459022,0.001387935,0.000498905,0.000105022,0.003650628,0.000281641,4.17E-06,0.00095031,0.00070636,0.000446566,0.000169609,0.000369819,0.007379466,0.001892777,5.37E-05,0.00558737,0.009456103,4.32E-05,4.97E-05,0.010581,0,0.004278824,0,0.029876352,0,0.006759529,0.00025847,0.000205168,0.000273843,0.000189116,0.037190769,0.011985684,0.006688064,0.003383155,0.017938467,0.001048332,0.000364732,0.00076977,0.008401072,0.00155309,0.001094367,0,0.003717094,0.000185158,0.000263511,0.000605139,0.004798462,0.001198042,0.000372293,0.000865097,0.000816401,0.002238398,0.000449227,0.001784153,4.80E-05,0.002609966,0.003914557,0.000693238,0.001519611,0.036677929,0.010094878,0.106093136,0.066010224,0.073828571,0.014379871,0.030170992,0.148669198,0.00115273,0.001589912,0.00068463,0,0.000823444,0,0.000140753,0.00087399,0.000561587,6.85E-05,4.05E-05,0,0.001580102,0,5.06E-05,3.60E-05,0.005688673,0,0.000295502,0.000546958,0.004655349,0,0.000534923,0.0013795,0.019617439,0.001129404,0.103611987,0.015964886,0.045548763,0.001048706,0.05656223,0.03617928,0.000948263,0.00139699,0.004706497,0.03310766,0.001292799,0.000648875,0.010270996,0.003319459,0.003117173,0,0.001337833,0,0.00313513,0,0.003309587,0.003569664,0,6.36E-05,0,0,0,0,0.000134926,0.000127095,0,0,0,0,0.000741406,0,0,0,0.016882202,0.001337321,0.000632478,0.004705293,0.036232773,0.000844568,0.00182654,0.007512875,0.041531021,0.000372907,0.025251507,0.00099714,0.018728807,0.00533323,0.00436153,0.003653345
