species,rhythmic_p,mesor,amplitude,phase_radians,peak_time_hours,people
Capnocytophaga.gingivalis,0.026927992,0.004153293,0.005005303,1.339335594,5.115885128,P24
Fusobacterium.nucleatum,0.0756301,0.033929187,0.047180522,1.392747729,5.319904452,P24
Streptococcus.koreensis,0.040545001,0.014280836,0.017639687,1.366714964,5.220466615,P24
Streptococcus.sp..A12,0.064679062,0.002459468,0.003030413,1.367621572,5.223929604,P24
Mogibacterium.diversum,0.09899838,0.053175954,0.073102352,1.387099352,5.298329241,P24
Lautropia.mirabilis,0.354542749,0.000608413,0.007012014,4.30320096,16.43701689,P24
Pauljensenia.hongkongensis,0.058636567,0.016430311,0.022224365,1.368296101,5.226506115,P24
Actinomyces.sp..oral.taxon.169,0.006594492,0.037230789,0.04513176,1.41060038,5.388096555,P24
Streptococcus.sp..I.G2,0.040658702,0.005172543,0.006076187,1.353981329,5.171827711,P24
Streptococcus.lactarius,0.034619674,0.015003451,0.019222498,1.367558528,5.223688794,P24
X.Eubacterium..sulci,0.106298992,0.01976409,0.027131444,1.390338609,5.310702291,P24
Prevotella.nigrescens,0.156381789,0.232611888,0.326053884,1.391632188,5.3156434,P24
Streptococcus.sp..NPS.308,0.024401957,0.002293192,0.002126293,1.544427496,5.899278488,P24
Capnocytophaga.sputigena,0.026927409,0.00309077,0.003587497,1.434538384,5.479532996,P24
Streptococcus.sp..ZB199,0.052534915,0.00385705,0.004999837,1.383333493,5.283944722,P24
Streptococcus.vestibularis,0.010604134,0.027166133,0.036865077,1.389246458,5.306530583,P24
Actinomyces.sp..oral.taxon.171,0.004207993,0.012621187,0.015388781,1.425349924,5.444435665,P24
Neisseria.subflava,0.154217159,0.025778482,0.023539096,1.421405758,5.429370059,P24
Parvimonas.micra,0.023638485,0.05177997,0.072024461,1.390027928,5.309515577,P24
Actinomyces.viscosus,0.007012038,0.008671152,0.011348508,1.38413285,5.286998041,P24
Prevotella.intermedia,0.042126833,0.008852588,0.012194376,1.391279596,5.314296598,P24
Streptococcus.sp..VT.162,0.006588177,0.009482567,0.010139926,1.302142973,4.973819777,P24
Tannerella.sp..oral.taxon.HOT.286,0.04982407,0.005877475,0.007777287,1.387159313,5.298558278,P24
Neisseria.mucosa,0.201248987,0.011848779,0.010125282,1.449398208,5.536293344,P24
Porphyromonas.sp..oral.taxon.275,0.093767655,0.000732061,0.000913851,1.43412334,5.477947645,P24
Campylobacter.showae,0.07093049,0.000780657,0.000898767,1.42975625,5.461266591,P24
Streptococcus.sp..1643,0.028841846,0.003429064,0.003478485,1.360262879,5.195821467,P24
Prevotella.jejuni,0.03559506,0.041093754,0.056262092,1.388758022,5.304664894,P24
Selenomonas.sputigena,0.109673734,0.010124201,0.013843244,1.405472595,5.368509861,P24
Streptococcus.suis,0.01832862,0.000502073,0.000605995,1.359124874,5.191474607,P24
Neisseria.elongata,0.091238959,0.006023254,0.007110131,1.439343365,5.497886671,P24
Prevotella.oris,0.04192536,0.093277086,0.130767725,1.390348444,5.31073986,P24
Neisseria.sicca,0.385765406,0.001583641,0.001133162,1.475550212,5.636186639,P24
Arachnia.propionica,0.003252415,0.004591606,0.005596228,1.47498065,5.634011074,P24
Lachnospiraceae.bacterium.oral.taxon.096,0.150236982,0.138027976,0.189475671,1.383891919,5.286077749,P24
Cardiobacterium.hominis,0.003476573,0.001742679,0.002139971,1.344499958,5.135611543,P24
Streptococcus.mutans,0.004435482,0.005008171,0.006671256,1.398975842,5.343694091,P24
Olsenella.sp..oral.taxon.807,0.046872701,0.04533918,0.062239787,1.406216258,5.371350443,P24
Streptococcus.equinus,0.035746987,0.006380824,0.00831372,1.363484689,5.208127875,P24
Candidatus.Saccharibacteria.bacterium.oral.taxon.488,0.009394287,0.002293148,0.002923528,1.394258309,5.325674443,P24
Mogibacterium.pumilum,0.092751992,0.003054285,0.004215149,1.389045486,5.305762925,P24
Streptococcus.sp..FDAARGOS_192,0.016584511,0.039914831,0.051161363,1.342728652,5.128845653,P24
Treponema.sp..OMZ.804,0.129463511,0.016952708,0.023663768,1.392948365,5.320670828,P24
Neisseria.flavescens,0.173609627,0.007956577,0.007506934,1.408045361,5.378337105,P24
Actinomyces.sp..oral.taxon.897,0.05216926,0.001955957,0.002632076,1.376862869,5.259228759,P24
Granulicatella.adiacens,0.058862818,0.00050867,0.00054514,1.451525659,5.544419609,P24
Streptococcus.constellatus,0.111882009,0.066247939,0.091469594,1.393420326,5.322473585,P24
Treponema.socranskii,0.073288797,0.005945533,0.008250805,1.397524596,5.338150741,P24
Haemophilus.influenzae,0.228573222,5.24E-05,0.000129702,4.427918962,16.91340457,P24
Campylobacter.rectus,0.053905224,0.001439312,0.001997829,1.396954891,5.335974628,P24
Inoviridae.sp.,0.063141681,0.000289404,0.000309729,1.459447719,5.574679649,P24
Streptococcus.sp..oral.taxon.064,0.011645086,0.013316211,0.013702709,1.371110232,5.237255303,P24
Haemophilus.parahaemolyticus,0.374029611,0.000469587,0.001015796,4.583168065,17.50641246,P24
Aggregatibacter.aphrophilus,0.020030484,0.002619067,0.003336524,1.390108832,5.30982461,P24
Fusobacterium.pseudoperiodonticum,0.163079619,0.001310017,0.001709226,1.412770746,5.396386744,P24
Prevotella.sp..oral.taxon.299,0.113567876,0.029821786,0.041711816,1.391888596,5.316622806,P24
Selenomonas.sp..oral.taxon.126,0.091871964,0.001830615,0.002518094,1.397491538,5.338024467,P24
TM7.phylum.sp..oral.taxon.952,0.004888706,0.004539332,0.005558051,1.393953705,5.324510944,P24
Prevotella.histicola,0.020818958,0.052957162,0.071512126,1.395455109,5.330245883,P24
Prevotella.veroralis,0.013346673,0.141156051,0.192702502,1.386256523,5.295109874,P24
Tannerella.forsythia,0.005174097,0.000560116,0.000773654,1.400723366,5.350369144,P24
Leptotrichia.sp..oral.taxon.212,0.207935892,2.57E-14,1.78E-05,4.260463988,16.27377369,P24
Campylobacter.gracilis,0.093286633,0.00913934,0.01271503,1.391217842,5.314060715,P24
Schaalia.cardiffensis,0.061179232,0.001717664,0.002228626,1.377349082,5.261085953,P24
Caudovirales.sp.,0.060777981,0.001546131,0.00208609,1.392295656,5.31817766,P24
Haemophilus.haemolyticus,0.331018214,3.18E-05,3.85E-05,4.933121792,18.84313723,P24
Streptococcus.equi,0.047173688,0.00120984,0.001615859,1.380129675,5.271707038,P24
Streptococcus.infantis,0.107148959,3.18E-13,0.000137612,3.777174039,14.42774206,P24
Porphyromonas.gingivalis,0.056419978,0.000657479,0.000923595,1.391288556,5.314330822,P24
Treponema.medium,0.111457541,0.001926801,0.002667107,1.397330282,5.337408517,P24
Campylobacter.blaseri,0.16394458,8.16E-06,1.13E-05,1.395197791,5.329263001,P24
Streptococcus.agalactiae,0.040254531,0.037309197,0.047508994,1.391643371,5.315686117,P24
Lachnospiraceae.bacterium.oral.taxon.500,0.068765831,0.000526885,0.000706021,1.337279975,5.108033238,P24
Filifactor.alocis,0.090470338,0.00517241,0.007254634,1.391725603,5.316000218,P24
Treponema.sp..OMZ.838,0.12250758,0.000839066,0.001152472,1.399589671,5.346038747,P24
Prevotella.denticola,0.064130482,0.004969576,0.00691892,1.390613535,5.311752434,P24
Treponema.denticola,0.346104022,3.69E-11,2.80E-06,4.260468984,16.27379277,P24
Fretibacterium.fastidiosum,0.20932492,0.000304969,0.000407132,1.440511845,5.502349939,P24
Olsenella.uli,0.032909021,0.004920476,0.006864624,1.3947391,5.32751093,P24
Actinomyces.sp..oral.taxon.848,0.005005303,0.001277993,0.001536918,1.363132149,5.206781271,P24
Neisseria.meningitidis,0.609525467,0.000800124,0.000885689,4.26910541,16.30678149,P24
Treponema.sp..OMZ.806,0.106227606,0.008311778,0.01157176,1.395560741,5.330649367,P24
Leptotrichia.wadei,0.054484163,0.003686236,0.004777223,1.420036353,5.424139319,P24
Capnocytophaga.sp..FDAARGOS_737,0.346100041,2.40E-10,0.000329547,4.260465107,16.27377796,P24
Dialister.pneumosintes,0.087954508,0.010596492,0.014854316,1.393102685,5.321260286,P24
Selenomonas.sp..oral.taxon.920,0.082672503,0.001805475,0.002476641,1.399726261,5.346560481,P24
Actinomyces.radicidentis,0.046999106,0.001265849,0.001694236,1.381583368,5.277259735,P24
Corynebacterium.matruchotii,0.010072396,0.000937546,0.001197789,1.401410133,5.3529924,P24
Selenomonas.sp..oral.taxon.136,0.119693348,0.007259745,0.009722748,1.416935407,5.412294578,P24
Neisseria.sp..oral.taxon.014,0.011281991,0.004252153,0.004220298,1.612691171,6.160026519,P24
Capnocytophaga.endodontalis,0.016013204,0.001932236,0.002523485,1.396176128,5.332999971,P24
Prevotella.scopos,0.036917109,0.001154074,0.001582849,1.392291161,5.318160492,P24
Streptococcus.milleri,0.109617988,0.072815015,0.100452281,1.392579117,5.319260403,P24
Arachnia.rubra,0.001813957,0.002430639,0.002703629,1.349324242,5.15403895,P24
Selenomonas.sp..oral.taxon.478,0.121470046,0.009190581,0.01227333,1.424302666,5.440435435,P24
Capnocytophaga.leadbetteri,0.207936016,8.09E-13,0.000388327,4.260462039,16.27376624,P24
Eikenella.corrodens,0.207936826,1.46E-14,9.44E-06,4.260463914,16.2737734,P24
Aggregatibacter.segnis,0.013845633,0.000914872,0.001097249,1.421152111,5.428401202,P24
Actinomyces.sp..ZJ750,0.057403049,0.001190061,0.001619318,1.383089094,5.283011185,P24
Actinomyces.howellii,0.041032872,0.001124577,0.001535844,1.397390681,5.337639224,P24
Prevotella.enoeca,0.037567146,0.000803262,0.001113381,1.381602795,5.277333941,P24
Kingella.denitrificans,0.207936276,1.49E-14,9.96E-06,4.260471402,16.27380201,P24
Staphylococcus.aureus,0.043455342,0.048552082,0.048333337,0.887689402,3.39072375,P24
Actinomyces.slackii,0.061872781,0.000809706,0.001071768,1.375796235,5.255154518,P24
Actinomyces.sp..ZJ34,0.071452851,0.001058576,0.001414739,1.372962781,5.24433152,P24
Propionibacterium.acidifaciens,0.048419599,0.000481395,0.00056566,1.373098331,5.244849283,P24
Veillonella.rodentium,0.032680846,0.000801032,0.001090658,1.370667447,5.235563988,P24
Prevotella.sp..oral.taxon.475,0.079943384,0.000393906,0.000552473,1.393440702,5.322551415,P24
Aggregatibacter.sp..oral.taxon.513,0.021427607,0.000600684,0.000746575,1.400563869,5.34975991,P24
Haemophilus.sp..oral.taxon.036,0.209251488,0.000532155,0.000719861,1.421656535,5.430327957,P24
bacterium,0.044915278,0.001540419,0.002076076,1.385286668,5.291405299,P24
Actinomyces.sp..Chiba101,0.027388358,0.000606225,0.000777073,1.385216731,5.291138162,P24
Treponema.putidum,0.346097321,-1.70E-12,2.38E-06,4.260473347,16.27380943,P24
Actinomyces.weissii,0.061783452,0.056829506,0.07507079,1.369650842,5.231680843,P24
Ottowia.sp..oral.taxon.894,0.006865439,0.000233778,0.000320422,1.40814443,5.378715521,P24
Actinomyces.procaprae,0.062256448,0.001014342,0.001358803,1.353025934,5.168178373,P24
Treponema.parvum,0.203354213,0.002519013,0.003512205,1.393383539,5.32233307,P24
Neisseria.lactamica,0.244919739,0.007333356,0.007666448,1.363528073,5.208293587,P24
Prevotella.fusca,0.037512802,0.000963923,0.001339195,1.401558265,5.353558224,P24
Treponema.pedis,0.039826729,0.000548467,0.000766313,1.392801671,5.320110496,P24
Capnocytophaga.sp..oral.taxon.878,0.207935887,-1.39E-13,2.85E-05,4.260463988,16.27377368,P24
Mycoplasma.salivarium,0.200213563,0.000112037,0.000157385,1.391289297,5.314333652,P24
Abiotrophia.defectiva,0.346100921,1.42E-12,0.000187646,4.260464102,16.27377412,P24
TM7.phylum.sp..oral.taxon.349,0.207935919,-6.36E-15,3.79E-06,4.260463502,16.27377183,P24
Kingella.oralis,0.014321522,0.000384532,0.000495027,1.372657354,5.243164872,P24
Actinomyces.israelii,0.096527114,0.000996109,0.001322394,1.361416429,5.200227703,P24
Enterococcus.cecorum,0.207935891,-4.98E-14,1.28E-05,4.260463946,16.27377353,P24
Neisseria.cinerea,0.207935909,-4.94E-14,5.03E-05,4.26046367,16.27377247,P24
Neisseria.gonorrhoeae,0.346845966,-3.22E-11,4.58E-05,4.260468225,16.27378987,P24
Neisseria.sp..KEM232,0.207936845,1.00E-14,3.42E-05,4.260461118,16.27376272,P24
Fusobacterium.hwasookii,0.346097031,-8.82E-11,3.31E-05,4.260463385,16.27377138,P24
Streptococcus.periodonticum,0.1048682,0.009046594,0.01241319,1.379390551,5.268883792,P24
X.Eubacterium..minutum,0.058056017,0.000320405,0.00045009,1.391288909,5.31433217,P24
Leptotrichia.trevisanii,0.050740724,0.003271235,0.004491108,1.385876888,5.293659772,P24
Neisseria.bacilliformis,0.207935899,-7.25E-15,5.53E-06,4.260463988,16.27377368,P24
Prevotella.multiformis,0.104369848,0.082196737,0.115336638,1.391136907,5.313751567,P24
Cutibacterium.acnes,0.19107357,1.15E-05,5.68E-05,3.984440746,15.21944256,P24
Leptotrichia.sp..oral.taxon.218,0.072344146,0.008825521,0.011803671,1.399941929,5.347384275,P24
Actinomyces.sp..432,0.06055855,0.000530394,0.000730362,1.371581168,5.239054146,P24
Candidatus.Saccharibacteria.bacterium.oral.taxon.957,0.200213561,0.000104756,0.000147156,1.391289296,5.314333651,P24
Peptostreptococcus.anaerobius,0.060593267,0.000394394,0.000554027,1.391289548,5.314334611,P24
Actinomyces.qiguomingii,0.06733668,0.000616181,0.000842841,1.377527827,5.261768709,P24
Prevotella.dentalis,0.099450728,0.000397365,0.000558199,1.39128922,5.314333358,P24
Bergeyella.cardium,0.207935889,-4.18E-15,5.04E-06,4.260463986,16.27377368,P24
Lactococcus.lactis,0.08881781,0.001277741,0.00177289,1.40847771,5.379988555,P24
Leptotrichia.sp..oral.taxon.221,0.086549875,0.000335482,0.000465358,1.394839702,5.3278952,P24
Clostridioides.difficile,0.071817315,0.001374596,0.001930968,1.391289273,5.314333562,P24
Enterococcus.faecalis,0.207935893,-1.10E-14,1.95E-05,4.260463991,16.27377369,P24
Schaalia.sp..ZJ405,0.086798797,0.000745356,0.001014893,1.374174589,5.248960283,P24
Bifidobacterium.dentium,0.04265628,0.000229171,0.000317842,1.394884086,5.328064736,P24
Abiotrophia.para.adiacens,0.207935892,3.58E-15,8.74E-06,4.260463994,16.27377371,P24
Corynebacterium.diphtheriae,0.280415367,2.50E-05,3.23E-05,5.085885354,19.42665106,P24
Actinomyces.wuliandei,0.024496825,0.000378655,0.000521756,1.382325992,5.280096348,P24
Corynebacterium.aquilae,0.215796208,0.000235517,0.00026749,1.187885163,4.537387093,P24
Actinomyces.marmotae,0.038284465,0.000431045,0.000596099,1.377457914,5.261501663,P24
Peptacetobacter.hiranonis,0.072576726,0.000387342,0.000544117,1.391289369,5.314333928,P24
Mycoplasma.orale,0.207936724,-7.02E-15,8.89E-06,4.260464006,16.27377375,P24
Slackia.heliotrinireducens,0.073039807,0.000687951,0.000966402,1.391289288,5.31433362,P24
Fusobacterium.sp..oral.taxon.203,0.200213567,0.000265951,0.000373596,1.391289288,5.314333621,P24
Capnocytophaga.sp..oral.taxon.902,0.232356209,9.52E-05,0.000124396,1.412237769,5.394350922,P24
Campylobacter.curvus,0.200322156,0.000143806,0.000201174,1.397001644,5.33615321,P24
Ligilactobacillus.salivarius,0.400041791,1.22E-05,6.30E-05,3.782978532,14.44991359,P24
Leptotrichia.hongkongensis,0.345847808,1.91E-10,7.76E-05,3.593512077,13.72620504,P24
uncultured.phage,0.048657395,0.000257008,0.000361033,1.391289267,5.31433354,P24
Aggregatibacter.actinomycetemcomitans,0.207938818,-1.79E-14,1.21E-05,4.26046411,16.27377415,P24
Corynebacterium.vitaeruminis,0.1169509,-1.78E-14,2.03E-05,4.099466253,15.65880764,P24
Pseudoleptotrichia.goodfellowii,0.346055701,3.17E-11,2.82E-06,4.260468218,16.27378984,P24
Lactococcus.cremoris,0.074107488,0.000406656,0.00056365,1.409971548,5.385694594,P24
Actinomyces.gaoshouyii,0.199940465,0.000198516,0.00027306,1.373681071,5.247075184,P24
Berryella.intestinalis,0.200212915,0.000285481,0.00040103,1.391294005,5.314351637,P24
Haemophilus.pittmaniae,0.20793591,-3.16E-15,2.27E-06,4.260463805,16.27377299,P24
Rothia.nasimurium,0.069288088,0.00091392,0.001045591,1.324275125,5.05835837,P24
Actinomyces.succiniciruminis,0.022952056,0.000851398,0.001184125,1.385777472,5.293280034,P24
Carnobacterium.divergens,0.207935908,-1.96E-14,1.42E-05,4.260463988,16.27377369,P24
Mannheimia.granulomatis,0.207940132,-5.06E-15,7.94E-06,4.260467913,16.27378868,P24
Faecalibacterium.prausnitzii,0.200352242,0.001170464,0.001635618,1.398510589,5.341916956,P24
Actinomyces.sp..Z16,0.121677415,0.000555372,0.00076845,1.380955911,5.274863028,P24
Actinomyces.lilanjuaniae,0.199880382,0.000267936,0.00036918,1.372424916,5.242277024,P24
Cryptobacterium.curtum,0.101198618,0.007266964,0.010173292,1.390393212,5.310910863,P24
Carnobacterium.maltaromaticum,0.207935951,4.60E-15,9.01E-06,4.260463952,16.27377355,P24
Capnocytophaga.sp..oral.taxon.864,0.209799472,0.000539765,0.000741362,1.397653638,5.338643646,P24
Microviridae.sp.,0.063293234,0.00027529,0.000386715,1.391289274,5.314333567,P24
Human.betaherpesvirus.7,0.346099157,4.63E-12,2.27E-06,4.260464843,16.27377695,P24
Fusobacterium.periodonticum,0.2079359,2.21E-14,1.96E-05,4.260463983,16.27377366,P24
Actinobacillus.porcitonsillarum,0.346098201,-1.01E-13,1.22E-05,4.260463986,16.27377368,P24
Parascardovia.denticolens,0.012499336,0.000488805,0.000686651,1.39128928,5.314333589,P24
Streptococcus.porcinus,0.200213558,0.000357565,0.00050229,1.391289287,5.314333614,P24
X.Haemophilus..ducreyi,0.535748824,1.31E-14,2.93E-06,4.260464788,16.27377674,P24
Rothia.kristinae,0.573686386,5.80E-05,4.18E-05,4.791939366,18.30386009,P24
Mobiluncus.curtisii,0.332195938,4.22E-06,9.48E-06,4.446019565,16.98254378,P24
Capnocytophaga.ochracea,0.215489958,0.000533756,0.000723705,1.401375497,5.352860098,P24
Gemella.sp..oral.taxon.928,0.34603634,-4.26E-10,3.44E-05,3.593522216,13.72624377,P24
Capnocytophaga.haemolytica,0.346098222,6.15E-14,6.35E-06,4.260463976,16.27377364,P24
Corynebacterium.argentoratense,0.123862271,1.32E-14,1.61E-05,4.114129198,15.71481596,P24
Collinsella.aerofaciens,0.06977391,0.000906415,0.001268546,1.396421246,5.333936253,P24
Haemophilus.parainfluenzae,0.123229661,0.083608199,0.07021755,1.412352041,5.394787408,P25
Actinomyces.naeslundii,0.690206181,0.058832148,0.015842868,1.469736994,5.613981785,P25
Actinomyces.pacaensis,0.195604056,0.031385763,0.017467529,1.641201623,6.268928423,P25
Actinomyces.sp..oral.taxon.414,0.662180659,0.009661338,0.003627029,4.034879462,15.41210427,P25
Schaalia.meyeri,0.812724035,0.010688451,0.001244315,3.017636729,11.52652325,P25
Schaalia.odontolytica,0.534868497,0.419503496,0.10784873,1.760951419,6.726338947,P25
Rothia.dentocariosa,0.347190266,0.027150193,0.018735089,4.659934625,17.79963912,P25
Rothia.mucilaginosa,0.546999419,0.55016875,0.289337514,4.193481798,16.01792057,P25
Gemella.morbillorum,0.490801408,0.009667305,0.00389315,1.060808256,4.051989063,P25
Streptococcus.cristatus,0.548047887,0.021233701,0.011730571,4.182431347,15.97571095,P25
Streptococcus.gordonii,0.815416261,0.035731624,0.005730866,1.500925704,5.73311388,P25
Streptococcus.mitis,0.140236184,0.07420655,0.057838816,0.577954302,2.207622816,P25
Streptococcus.oralis,0.738991603,0.117374138,0.020100996,2.016781998,7.703539777,P25
Streptococcus.salivarius,0.685649891,2.351612733,0.662679174,4.670542192,17.84015704,P25
Veillonella.nakazawae,0.613383629,0.035093281,0.008939038,2.591990385,9.900673972,P25
Veillonella.atypica,0.747144631,0.335704132,0.10887119,3.521975186,13.45295425,P25
Veillonella.parvula,0.273039872,0.049901659,0.034675017,1.377061008,5.259985593,P25
Myoviridae.sp.,0.147148146,0.012286625,0.007698802,1.568663849,5.991854536,P25
Siphoviridae.sp.,0.67671181,0.07745673,0.013549439,1.891623631,7.225470033,P25
Prevotella.melaninogenica,0.027947295,0.13543466,0.133577064,1.603856789,6.126281665,P25
Gemella.haemolysans,0.053885725,0.004433821,0.004238797,1.209480761,4.619876201,P25
Streptococcus.pneumoniae,0.278535336,0.015897549,0.0091454,0.644696154,2.462557912,P25
Streptococcus.thermophilus,0.861082849,0.020192698,0.00149117,5.780724453,22.08074091,P25
Podoviridae.sp.,0.17543808,0.006996015,0.004628632,1.477784543,5.644721158,P25
Streptococcus.sp..oral.taxon.061,0.209769752,0.179075712,0.121315635,1.540722582,5.885126756,P25
Campylobacter.concisus,0.284668178,0.046538362,0.016407328,2.263056471,8.644238973,P25
Gemella.sanguinis,0.080595581,0.066412445,0.057206105,1.460855225,5.580055924,P25
Streptococcus.sp..LPB0220,0.356439323,0.135467403,0.061209447,2.485172946,9.49266141,P25
Streptococcus.sp..oral.taxon.431,0.356689083,0.131883818,0.068949498,1.260814865,4.815958033,P25
Lachnoanaerobaculum.umeaense,0.659607467,0.006791724,0.00106436,5.459605392,20.85415645,P25
Veillonella.dispar,0.573587434,0.133020785,0.038519813,2.689537286,10.27327569,P25
Bacteriophage.sp.,0.236740552,0.002401316,0.001238353,1.813679718,6.927746214,P25
Streptococcus.anginosus,0.465582879,0.027689011,0.010722057,1.723121122,6.581837858,P25
Streptococcus.gwangjuense,0.124669088,0.005244293,0.004722887,0.613147156,2.342049617,P25
Streptococcus.parasanguinis,0.48342331,0.046425378,0.017385049,2.657812038,10.15209417,P25
Streptococcus.sanguinis,0.450021126,0.071792986,0.030520587,0.822371121,3.141226294,P25
Streptococcus.pseudopneumoniae,0.563832226,0.004985677,0.001882803,0.438854159,1.67629941,P25
Actinomyces.oris,0.436026525,0.049763245,0.025856358,1.262213415,4.821300102,P25
Rothia.aeria,0.945326447,0.005099196,0.000241449,3.962324933,15.13496638,P25
Streptococcus.australis,0.456291932,0.124798796,0.051576677,1.74395767,6.661427611,P25
Lancefieldella.parvula,0.27211503,0.103005317,0.049668538,1.738710294,6.641384108,P25
Streptococcus.intermedius,0.862419636,0.014849171,0.002161413,4.105006779,15.67997089,P25
Streptococcus.sp..116.D4,0.302830759,0.004357941,0.002423185,1.229859713,4.697718065,P25
Streptococcus.sp..I.P16,0.367454832,0.048855534,0.022626862,1.817175151,6.941097785,P25
Capnocytophaga.gingivalis,0.521838441,0.00202679,0.001261562,4.196022635,16.02762585,P25
Fusobacterium.nucleatum,0.643032246,0.009392114,0.002627569,4.360927238,16.65751503,P25
Streptococcus.koreensis,0.654190028,0.056410871,0.01364925,1.705143618,6.513168853,P25
Streptococcus.sp..A12,0.327520472,0.033934556,0.019803898,1.530966085,5.847859684,P25
Mogibacterium.diversum,0.123144476,0.043422908,0.031749322,1.576689873,6.022511689,P25
Lautropia.mirabilis,0.931740827,0.006420535,0.000451479,0.552394231,2.109990537,P25
Pauljensenia.hongkongensis,0.387288628,0.008376902,0.004189187,1.2411282,4.740760513,P25
Actinomyces.sp..oral.taxon.169,0.74289011,0.004419547,0.000908306,1.594552466,6.090741767,P25
Streptococcus.sp..I.G2,0.38808294,0.030997846,0.015212338,1.722825928,6.580710301,P25
Streptococcus.lactarius,0.332547277,0.033000994,0.014717457,2.271392943,8.676081951,P25
X.Eubacterium..sulci,0.066786028,0.026318834,0.027538769,1.470277002,5.616044462,P25
Prevotella.nigrescens,0.111173426,0.006869403,0.004153911,1.658964227,6.33677657,P25
Streptococcus.sp..NPS.308,0.556159884,0.005493926,0.001797644,1.548497169,5.914823492,P25
Capnocytophaga.sputigena,0.67275403,0.002516119,0.000667287,0.414435188,1.58302581,P25
Streptococcus.sp..ZB199,0.59411678,0.010515312,0.003560556,2.924372783,11.17028121,P25
Streptococcus.vestibularis,0.481472641,0.014674883,0.006368737,1.544802678,5.900711574,P25
Actinomyces.sp..oral.taxon.171,0.540728859,0.00839402,0.003702616,1.308001679,4.996198386,P25
Neisseria.subflava,0.177649866,0.010623793,0.00685927,1.427737097,5.453553992,P25
Parvimonas.micra,0.247344065,0.005465237,0.002429866,2.149060058,8.208804749,P25
Actinomyces.viscosus,0.736457822,0.002247591,0.000399347,1.940456125,7.411996421,P25
Prevotella.intermedia,0.025658057,0.009066969,0.006144631,1.156064616,4.415841555,P25
Streptococcus.sp..VT.162,0.690334275,0.012200065,0.003100525,1.660359679,6.342106804,P25
Tannerella.sp..oral.taxon.HOT.286,0.449796999,0.002360728,0.001086896,3.942111975,15.05775857,P25
Neisseria.mucosa,0.575423359,0.017938792,0.007059545,1.183816289,4.521845137,P25
Porphyromonas.sp..oral.taxon.275,0.073412506,0.009112963,0.009217777,1.333220726,5.092528051,P25
Campylobacter.showae,0.231801537,0.001379525,0.000622926,1.147243019,4.382145538,P25
Streptococcus.sp..1643,0.510405452,0.004759715,0.002363175,3.07032139,11.72776383,P25
Prevotella.jejuni,0.125238504,0.084496924,0.070655913,1.561871073,5.965908041,P25
Selenomonas.sputigena,0.170472631,0.006357315,0.004754262,1.413728931,5.400046743,P25
Streptococcus.suis,0.216908083,0.000752192,0.000545464,1.814310861,6.930157004,P25
Neisseria.elongata,0.431287835,0.004409061,0.001934479,1.493230792,5.70372148,P25
Prevotella.oris,0.06595594,0.005861592,0.004063864,1.430262904,5.463201867,P25
Neisseria.sicca,0.841136359,0.007246424,0.001533659,3.461797499,13.22309241,P25
Arachnia.propionica,0.497460978,0.003750865,0.001362741,1.26146416,4.818438158,P25
Lachnospiraceae.bacterium.oral.taxon.096,0.440549552,0.101205823,0.058457874,4.520260276,17.26612241,P25
Cardiobacterium.hominis,0.502662145,0.002775929,0.001190685,1.629232095,6.223208194,P25
Streptococcus.mutans,0.221294581,0.00207732,0.001538958,1.421093632,5.428177829,P25
Olsenella.sp..oral.taxon.807,0.948374757,0.004221701,0.000160661,4.766683102,18.20738827,P25
Streptococcus.equinus,0.775026623,0.047383676,0.007270869,4.941552665,18.8753408,P25
Candidatus.Saccharibacteria.bacterium.oral.taxon.488,0.124225888,0.002284346,0.001453325,1.553225128,5.932882963,P25
Mogibacterium.pumilum,0.176032954,0.001713675,0.001000057,1.618175427,6.180974832,P25
Streptococcus.sp..FDAARGOS_192,0.870862407,0.045941371,0.004940415,4.585533438,17.51544752,P25
Treponema.sp..OMZ.804,0.727849854,0.004014389,0.000580296,4.698813328,17.94814483,P25
Neisseria.flavescens,0.123989805,0.003347975,0.003038314,1.201777092,4.590450352,P25
Actinomyces.sp..oral.taxon.897,0.429034261,0.004271159,0.009564728,4.290181445,16.38728601,P25
Granulicatella.adiacens,0.215259213,0.001902435,0.001295042,1.633770525,6.240543717,P25
Streptococcus.constellatus,0.359164988,0.000229521,0.000235486,0.074647865,0.285133839,P25
Treponema.socranskii,0.241110908,0.001859197,0.001046446,4.084027932,15.59983759,P25
Haemophilus.influenzae,0.0210906,0.000912824,0.001282292,1.391288992,5.314332487,P25
Campylobacter.rectus,0.391349071,0.004188196,0.001614435,4.292628001,16.39663117,P25
Inoviridae.sp.,0.065207245,0.000372994,0.000415543,1.465005359,5.59590827,P25
Streptococcus.sp..oral.taxon.064,0.489629709,0.018472904,0.007118833,1.436293658,5.486237651,P25
Aggregatibacter.aphrophilus,0.541375293,0.001669261,0.000951739,1.656822649,6.328596347,P25
Fusobacterium.pseudoperiodonticum,0.575357153,0.005528254,0.002053692,1.361336866,5.199923795,P25
Prevotella.sp..oral.taxon.299,0.009129692,0.011618052,0.015222651,1.402493362,5.357130028,P25
Selenomonas.sp..oral.taxon.126,0.752564596,0.001144282,0.000309467,3.623657448,13.84135188,P25
TM7.phylum.sp..oral.taxon.952,0.111726521,0.005132159,0.003591945,1.59637595,6.097706962,P25
