pathway	species	sum	ownership_new	Superclass1	Superclass2
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Streptococcus_agalactiae	0.000809702	cluster2	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Haemophilus_parahaemolyticus	0.000295626	cluster2	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Streptococcus_oralis	0.003894757	mix	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Haemophilus_influenzae	7.77524e-05	mix	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Haemophilus_haemolyticus	0.0002165008	mix	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Neisseria_elongata	0.0001188956	cluster1	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Cardiobacterium_hominis	3.5373e-05	mix	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Corynebacterium_matruchotii	3.081e-06	cluster1	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
P124-PWY: Bifidobacterium shunt	Haemophilus_haemolyticus	9.99e-08	mix	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-1042: glycolysis IV	Prevotella_denticola	5.91e-06	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Streptococcus_parasanguinis	0.004200566	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Haemophilus_haemolyticus	0.0002264899	mix	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Haemophilus_influenzae	0.0002513947	mix	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Haemophilus_parahaemolyticus	0.000230538	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Streptococcus_oralis	0.002773002	mix	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Prevotella_histicola	0.000337817	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Prevotella_oris	5.9242e-05	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Prevotella_scopos	1.0154e-05	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Prevotella_multiformis	9.058e-06	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Prevotella_jejuni	9.945e-05	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Streptococcus_mitis	0.005429618	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Prevotella_dentalis	1.79e-06	mix	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Streptococcus_australis	0.001236624	mix	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Peptostreptococcus_anaerobius	6.4e-07	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Prevotella_veroralis	1.3914e-05	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Streptococcus_pseudopneumoniae	0.004615524	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Streptococcus_pneumoniae	0.010874241	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-1042: glycolysis IV	Veillonella_atypica	0.00087976	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-2942: L-lysine biosynthesis III	Gemella_haemolysans	0.003138901	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Streptococcus_pneumoniae	0.006904543	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Neisseria_meningitidis	2.9811e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Prevotella_denticola	8.513e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Capnocytophaga_gingivalis	5.4996e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Haemophilus_parahaemolyticus	0.000186774	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Actinomyces_sp_oral_taxon_897	6.757e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Haemophilus_influenzae	8.777e-06	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Haemophilus_haemolyticus	0.000132968	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Prevotella_multiformis	1.0888e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Prevotella_dentalis	2.866e-06	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Porphyromonas_gingivalis	2.007e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Veillonella_atypica	0.000840255	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Cardiobacterium_hominis	1.3832e-05	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Prevotella_scopos	1.5483e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Prevotella_jejuni	0.000105059	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Neisseria_mucosa	0.0005730429	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Neisseria_elongata	0.000141415	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Prevotella_veroralis	1.2808e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Porphyromonas_endodontalis	0.000659508	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Prevotella_histicola	0.000273448	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Streptococcus_oralis	0.002077526	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Prevotella_oris	5.8868e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Bacteroides_heparinolyticus	1.084e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Peptostreptococcus_anaerobius	1.17e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-2942: L-lysine biosynthesis III	Streptococcus_mitis	0.003643587	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-3001: superpathway of L-isoleucine biosynthesis I	Streptococcus_australis	0.000755181	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-3001: superpathway of L-isoleucine biosynthesis I	Streptococcus_pseudopneumoniae	0.002244167	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-3001: superpathway of L-isoleucine biosynthesis I	Haemophilus_haemolyticus	0.000181706	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-3001: superpathway of L-isoleucine biosynthesis I	Streptococcus_parasanguinis	0.003622731	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-3001: superpathway of L-isoleucine biosynthesis I	Streptococcus_pneumoniae	0.010280303	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-3001: superpathway of L-isoleucine biosynthesis I	Haemophilus_influenzae	0.00018544	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-3001: superpathway of L-isoleucine biosynthesis I	Streptococcus_mitis	0.006022128	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-3001: superpathway of L-isoleucine biosynthesis I	Streptococcus_oralis	0.002550092	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Streptococcus_pneumoniae	0.009999056	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Haemophilus_influenzae	0.0003036981	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Actinomyces_sp_oral_taxon_897	7.673e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Streptococcus_australis	0.000802426	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Streptococcus_oralis	0.002506337	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Streptococcus_mitis	0.008712167	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Cardiobacterium_hominis	1.6759e-05	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Veillonella_atypica	0.001047841	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Haemophilus_parahaemolyticus	0.000216877	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Haemophilus_haemolyticus	0.0001605198	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Prevotella_oris	7.3499e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Streptococcus_parasanguinis	0.003241869	cluster1	Biosynthesis	Amino Acid Biosynthesis
PWY-5103: L-isoleucine biosynthesis III	Streptococcus_pseudopneumoniae	0.001764954	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	Streptococcus_pneumoniae	0.006830526	cluster2	Biosynthesis	Cell Structure Biosynthesis
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	Streptococcus_pseudopneumoniae	0.000284135	cluster2	Biosynthesis	Cell Structure Biosynthesis
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	Streptococcus_agalactiae	0.000372814	cluster2	Biosynthesis	Cell Structure Biosynthesis
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	Streptococcus_mitis	0.007674109	cluster2	Biosynthesis	Cell Structure Biosynthesis
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	Streptococcus_parasanguinis	0.000933501	cluster1	Biosynthesis	Cell Structure Biosynthesis
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	Streptococcus_oralis	0.001666148	mix	Biosynthesis	Cell Structure Biosynthesis
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	Streptococcus_pneumoniae	0.000152914	cluster2	Biosynthesis	Amino Acid Biosynthesis
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	Haemophilus_influenzae	0.0001282197	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	Haemophilus_haemolyticus	0.000161978	mix	Biosynthesis	Amino Acid Biosynthesis
PWY-5367: petroselinate biosynthesis	Streptococcus_pneumoniae	0.00178315	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5367: petroselinate biosynthesis	Prevotella_multiformis	8.07e-06	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5367: petroselinate biosynthesis	Streptococcus_oralis	0.00200729	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5367: petroselinate biosynthesis	Streptococcus_mitis	0.00058306	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5367: petroselinate biosynthesis	Streptococcus_parasanguinis	0.002237411	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Streptococcus_agalactiae	0.00027507	cluster2	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Cardiobacterium_hominis	2.419e-05	mix	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Streptococcus_pseudopneumoniae	1.09e-06	cluster2	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Prevotella_dentalis	2.13e-06	mix	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Streptococcus_oralis	0.001500043	mix	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Streptococcus_pneumoniae	0.00970738	cluster2	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Streptococcus_parasanguinis	0.00155548	cluster1	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	Streptococcus_mitis	0.000712657	cluster2	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-5484: glycolysis II (from fructose 6-phosphate)	Haemophilus_haemolyticus	0.000152334	mix	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-5484: glycolysis II (from fructose 6-phosphate)	Haemophilus_influenzae	8.5753e-05	mix	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-5484: glycolysis II (from fructose 6-phosphate)	Haemophilus_parahaemolyticus	6.2651e-05	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-5484: glycolysis II (from fructose 6-phosphate)	Streptococcus_pneumoniae	0.000210778	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
PWY-5667: CDP-diacylglycerol biosynthesis I	Neisseria_mucosa	0.000844401	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Bacteroides_heparinolyticus	1.0686e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Streptococcus_pneumoniae	0.0005943725	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Streptococcus_parasanguinis	0.003366841	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Cardiobacterium_hominis	1.588e-05	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Neisseria_meningitidis	0.001159844	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Streptococcus_australis	0.000627465	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Prevotella_multiformis	9.057e-06	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Prevotella_oris	3.7385e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Neisseria_elongata	2.288e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Haemophilus_haemolyticus	0.0003501647	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Haemophilus_parahaemolyticus	0.000272133	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Gemella_haemolysans	0.000443747	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Porphyromonas_endodontalis	0.000649647	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Haemophilus_influenzae	0.000269056	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Peptostreptococcus_anaerobius	7.23e-07	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Streptococcus_mitis	0.000341263	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Prevotella_scopos	7.429e-06	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Prevotella_dentalis	1.63e-06	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5667: CDP-diacylglycerol biosynthesis I	Streptococcus_agalactiae	0.000231696	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5686: UMP biosynthesis I	Streptococcus_oralis	0.00263854	mix	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Prevotella_denticola	6.239e-06	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Prevotella_multiformis	9.6e-06	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Veillonella_atypica	0.001204441	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Peptostreptococcus_anaerobius	9.77e-07	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Gemella_haemolysans	0.003325687	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Porphyromonas_endodontalis	0.000762311	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Bacteroides_heparinolyticus	1.089e-05	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Actinomyces_sp_oral_taxon_897	7.842e-06	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Prevotella_dentalis	2.74e-06	mix	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Capnocytophaga_gingivalis	7.2392e-05	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Streptococcus_agalactiae	0.00025216	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Streptococcus_mitis	0.00589226	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Neisseria_elongata	0.000243913	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Streptococcus_australis	0.000672073	mix	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Prevotella_scopos	5.039e-06	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Prevotella_veroralis	1.3172e-05	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Neisseria_mucosa	0.001355461	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Prevotella_oris	5.5492e-05	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Cardiobacterium_hominis	2.1984e-05	mix	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Streptococcus_parasanguinis	0.002885064	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Prevotella_jejuni	9.343e-05	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Streptococcus_pneumoniae	0.008446988	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Streptococcus_pseudopneumoniae	0.002879471	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Neisseria_meningitidis	5.7011e-05	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5686: UMP biosynthesis I	Prevotella_histicola	0.000292162	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Cardiobacterium_hominis	2.7322e-05	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Prevotella_histicola	0.000283613	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Bacteroides_heparinolyticus	1.4802e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Prevotella_multiformis	1.0759e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Neisseria_elongata	0.000289676	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Prevotella_dentalis	2.33e-06	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Neisseria_mucosa	0.001577578	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Streptococcus_oralis	0.003023013	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Prevotella_scopos	8.375e-06	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Streptococcus_agalactiae	0.000387025	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Prevotella_oris	6.2652e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Streptococcus_pneumoniae	0.002266157	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Prevotella_fusca	1.4e-07	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Veillonella_atypica	0.001129349	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Prevotella_veroralis	1.4678e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Capnocytophaga_gingivalis	5.7095e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Prevotella_jejuni	7.9813e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Streptococcus_pseudopneumoniae	0.002145368	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Streptococcus_parasanguinis	0.002586736	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Streptococcus_mitis	0.016472286	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5973: cis-vaccenate biosynthesis	Prevotella_denticola	6.9722e-06	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5981: CDP-diacylglycerol biosynthesis III	Streptococcus_oralis	0.002480725	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5981: CDP-diacylglycerol biosynthesis III	Haemophilus_haemolyticus	1.203e-06	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5981: CDP-diacylglycerol biosynthesis III	Neisseria_meningitidis	1.1586e-05	cluster1	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5981: CDP-diacylglycerol biosynthesis III	Streptococcus_pneumoniae	0.005088799	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5981: CDP-diacylglycerol biosynthesis III	Streptococcus_agalactiae	0.000293368	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5981: CDP-diacylglycerol biosynthesis III	Streptococcus_mitis	0.004849455	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5981: CDP-diacylglycerol biosynthesis III	Streptococcus_pseudopneumoniae	0.005142515	cluster2	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-5981: CDP-diacylglycerol biosynthesis III	Haemophilus_influenzae	0.000121176	mix	Biosynthesis	Fatty Acid and Lipid Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Corynebacterium_matruchotii	1.892e-06	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Cardiobacterium_hominis	2.1238e-05	mix	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Streptococcus_pseudopneumoniae	0.004424528	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Neisseria_mucosa	0.0008072112	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Haemophilus_haemolyticus	0.000172683	mix	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Streptococcus_pneumoniae	0.00636305	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Streptococcus_agalactiae	0.000287761	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Streptococcus_parasanguinis	0.00437819	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Actinomyces_sp_oral_taxon_897	3.308e-06	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Prevotella_dentalis	1.58e-06	mix	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Neisseria_elongata	0.000171906	cluster1	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Streptococcus_mitis	0.008096195	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Streptococcus_oralis	0.002520044	mix	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Gemella_haemolysans	0.002162703	cluster2	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
